ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly
2022-01-01,51.0,47.0,56.0,-27.37462897,0.08031101161080735,0.016563693590002194
2022-01-02,42.0,38.0,46.0,-27.37955822722029,0.05835471465142547,0.016928835569074985
2022-01-03,37.0,33.0,42.0,-27.384487484440584,-0.02191478193412626,0.0169778781161943
2022-01-04,38.0,34.0,42.0,-27.38941674166087,-0.030797317637679494,0.01671673540995158
2022-01-05,38.0,34.0,42.0,-27.39434599888116,-0.029389069502737928,0.016158231398046237
2022-01-06,38.0,34.0,41.0,-27.39927525610145,-0.028675440999986753,0.01532183116554672
2022-01-07,38.0,34.0,42.0,-27.40420451332174,-0.02788911618740208,0.014233209096946128
2022-01-08,41.0,37.0,45.0,-27.40913377054203,0.08031101161065435,0.01292366179081137
2022-01-09,42.0,38.0,46.0,-27.41406302776232,0.0583547146513931,0.011429377917260205
2022-01-10,38.0,34.0,42.0,-27.418992284982608,-0.021914781934099896,0.009790581201155647
2022-01-11,38.0,34.0,42.0,-27.4239215422029,-0.03079731763772736,0.00805056635130844
2022-01-12,38.0,34.0,42.0,-27.42885079942319,-0.029389069502810547,0.0062546509288399004
2022-01-13,47.0,42.0,50.0,-27.433780056643478,-0.028675440999997078,0.004449068757672273
2022-01-14,57.0,53.0,61.0,-27.438709313863768,-0.027889116187622506,0.0026798324434063898
2022-01-15,50.0,46.0,54.0,-27.443638571084062,0.0803110116106847,0.0009915938163368061
2022-01-16,42.0,39.0,46.0,-27.44856782830435,0.05835471465127181,-0.000573468397726859
2022-01-17,38.0,34.0,42.0,-27.45349708552464,-0.021914781934169826,-0.0019767046762126
2022-01-18,38.0,34.0,42.0,-27.45842634274493,-0.030797317637775233,-0.0031839666599065833
2022-01-19,38.0,35.0,43.0,-27.46335559996522,-0.02938906950275048,-0.004166468937417233
2022-01-20,38.0,34.0,42.0,-27.46828485718551,-0.028675441000007414,-0.0049015172246749394
2022-01-21,38.0,35.0,42.0,-27.4732141144058,-0.027889116187586754,-0.005373082793391194
2022-01-22,42.0,38.0,46.0,-27.478143371626086,0.08031101161077898,-0.005572206879527058
2022-01-23,43.0,39.0,46.0,-27.48307262884638,0.05835471465132837,-0.005497223175050878
2022-01-24,38.0,34.0,42.0,-27.48800188606667,-0.021914781934071613,-0.005153791257951079
2022-01-25,42.0,38.0,46.0,-27.492931143286956,-0.030797317637653938,-0.004554738820511932
2022-01-26,46.0,42.0,50.0,-27.497860400507246,-0.02938906950276696,-0.003719715676664604
2022-01-27,42.0,38.0,46.0,-27.50278965772754,-0.028675441000034288,-0.0026746676266639537
2022-01-28,38.0,35.0,42.0,-27.507718914947827,-0.027889116187524692,-0.001451143186966512
2022-01-29,42.0,38.0,46.0,-27.512648172168117,0.08031101161087328,-8.545081757080483e-05
2022-01-30,42.0,39.0,46.0,-27.517577429388407,0.05835471465149682,0.0013823115356416658
2022-01-31,38.0,34.0,42.0,-27.522506686608697,-0.021914781934141557,0.002909329140295472
2022-02-01,38.0,34.0,42.0,-27.527435943828987,-0.030797317637701806,0.004451217016913249
2022-02-02,38.0,34.0,42.0,-27.532365201049277,-0.029389069502727325,0.00596320971465208
2022-02-03,38.0,34.0,42.0,-27.537294458269564,-0.028675441000028064,0.007401362343369736
2022-02-04,38.0,34.0,42.0,-27.542223717968252,-0.02788911618777143,0.008723730377453269
2022-02-05,42.0,38.0,46.0,-27.54715297766694,0.08031101161083967,0.009891496136780524
2022-02-06,42.0,38.0,46.0,-27.552082237365624,0.05835471465146445,0.010870011131298391
2022-02-07,38.0,34.0,42.0,-27.557011497064313,-0.021914781934115196,0.011629725600469596
2022-02-08,38.0,34.0,42.0,-27.561940756763,-0.030797317637665106,0.012146979534114135
2022-02-09,38.0,34.0,42.0,-27.56687001646168,-0.029389069502687687,0.012404633151103399
2022-02-10,38.0,34.0,42.0,-27.57179927616037,-0.028675440999977313,0.01239251913946239
2022-02-11,38.0,34.0,42.0,-27.576728535859058,-0.027889116187709374,0.012107703809045134
2022-02-12,42.0,38.0,45.0,-27.581657795557742,0.08031101161093396,0.01155454954399763
2022-02-13,54.0,51.0,58.0,-27.58658705525643,0.05835471465134317,0.01074457642254764
2022-02-14,65.0,60.0,68.0,-27.59151631495512,-0.02191478193418513,0.009696126444147574
2022-02-15,50.0,46.0,54.0,-27.596445574653803,-0.03079731763772453,0.008433839311569843
2022-02-16,38.0,34.0,42.0,-27.601374834352487,-0.029389069502760292,0.006987954004590346
2022-02-17,38.0,34.0,42.0,-27.606304094051175,-0.028675440999971095,0.005393455299527566
2022-02-18,38.0,34.0,42.0,-27.611233353749864,-0.02788911618767362,0.003689088796350606
2022-02-19,42.0,38.0,46.0,-27.616162613448548,0.0803110116109643,0.0019162717833173804
2022-02-20,43.0,39.0,46.0,-27.621091873147236,0.058354714651221856,0.00011793028808372574
2022-02-21,38.0,34.0,42.0,-27.62602113284592,-0.02191478193415877,-0.00166270515525971
2022-02-22,39.0,35.0,43.0,-27.630950392544605,-0.030797317637687817,-0.0033833112192046388
2022-02-23,39.0,34.0,42.0,-27.635879652243293,-0.02938906950272066,-0.005003656844459614
2022-02-24,39.0,34.0,42.0,-27.64080891194198,-0.02867544099999797,-0.006486728152608273
2022-02-25,39.0,35.0,42.0,-27.64573817164067,-0.027889116187611557,-0.007799761295890206
2022-02-26,42.0,38.0,46.0,-27.650667431339354,0.08031101161074737,-0.00891515382305258
2022-02-27,43.0,39.0,47.0,-27.655596691038042,0.0583547146516571,-0.009811228477825172
