ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly
2022-01-01,134.0,124.0,144.0,-103.05491649999999,0.09276067220325465,0.0710502038299963
2022-01-02,112.0,102.0,121.0,-103.05096740719371,0.09539831939446108,0.07283893936265395
2022-01-03,105.0,95.0,114.0,-103.04701831438744,-0.030819184961702675,0.074463306303784
2022-01-04,106.0,96.0,116.0,-103.04306922158115,-0.0383782918085159,0.07589629216186976
2022-01-05,106.0,96.0,116.0,-103.03912012877487,-0.042751742091978864,0.07711470966538858
2022-01-06,106.0,95.0,116.0,-103.0351710359686,-0.03810217769996603,0.07809935167118429
2022-01-07,106.0,96.0,115.0,-103.03122194316231,-0.038107595035237175,0.07883505817600978
2022-01-08,111.0,101.0,120.0,-103.02727285035604,0.09276067220303867,0.0793107002739399
2022-01-09,111.0,101.0,120.0,-103.02332375754976,0.09539831939442578,0.07951908758090273
2022-01-10,105.0,94.0,115.0,-103.01937466474347,-0.030819184961697464,0.07945680705915258
2022-01-11,106.0,95.0,115.0,-103.0154255719372,-0.03837829180854243,0.07912400229509957
2022-01-12,106.0,96.0,116.0,-103.01147647913092,-0.042751742091986594,0.07852410309784501
2022-01-13,124.0,115.0,134.0,-103.00752738632463,-0.038102177699998574,0.07766351578672068
2022-01-14,147.0,137.0,156.0,-103.00357829351836,-0.03810759503543467,0.07655128472673929
2022-01-15,130.0,120.0,140.0,-102.99962920071208,0.09276067220307997,0.0751987355627525
2022-01-16,111.0,101.0,121.0,-102.9956801079058,0.09539831939427001,0.07361911021528048
2022-01-17,105.0,95.0,115.0,-102.99173101509952,-0.03081918496179184,0.0718272030602849
2022-01-18,106.0,97.0,116.0,-102.98778192229322,-0.038378291808568964,0.06983900685421159
2022-01-19,107.0,97.0,117.0,-102.98383282948696,-0.042751742091983895,0.06767137592185332
2022-01-20,107.0,96.0,117.0,-102.97988373668068,-0.038102177700031103,0.06534171293940995
2022-01-21,107.0,96.0,117.0,-102.97593464387438,-0.03810759503543644,0.06286768436213667
2022-01-22,113.0,103.0,123.0,-102.97198555106812,0.09276067220323873,0.06026696820938878
2022-01-23,113.0,104.0,123.0,-102.96803645826184,0.09539831939435515,0.0575570365741513
2022-01-24,107.0,98.0,117.0,-102.96408736545555,-0.03081918496159087,0.05475497391093946
2022-01-25,116.0,106.0,125.0,-102.96013827264927,-0.03837829180847746,0.051877330915066945
2022-01-26,126.0,115.0,136.0,-102.956189179843,-0.04275174209198487,0.048940012672803096
2022-01-27,116.0,107.0,126.0,-102.95224008703671,-0.038102177700016775,0.04595819876536936
2022-01-28,109.0,100.0,120.0,-102.94829099423043,-0.03810759503534704,0.04294629217578787
2022-01-29,115.0,105.0,125.0,-102.94434190142415,0.09276067220339748,0.0399178931926991
2022-01-30,115.0,105.0,125.0,-102.94039280861787,0.09539831939454486,0.036885794042608715
2022-01-31,109.0,99.0,119.0,-102.93644371581159,-0.03081918496168527,0.033861989714216986
2022-02-01,62.0,52.0,72.0,-102.93249462300531,-0.03837829180850399,0.030857700365702116
2022-02-02,62.0,53.0,73.0,-102.92854553019903,-0.0427517420919791,0.02788340081734457
2022-02-03,62.0,53.0,72.0,-102.92459643739275,-0.03810217770009616,0.024948852915129147
2022-02-04,63.0,53.0,73.0,-102.92064736300516,-0.03810759503563571,0.022063136984814217
2022-02-05,68.0,58.0,79.0,-102.91669828861755,0.09276067220332136,0.019234679157869215
2022-02-06,68.0,59.0,78.0,-102.91274921422996,0.09539831939450955,0.01647127201140526
2022-02-07,63.0,53.0,73.0,-102.90880013984237,-0.030819184961680044,0.013780086695151815
2022-02-08,64.0,54.0,75.0,-102.90485106545478,-0.0383782918084715,0.01116767548734413
2022-02-09,64.0,54.0,74.0,-102.90090199106719,-0.042751742091973334,0.00863996449713286
2022-02-10,64.0,54.0,74.0,-102.8969529166796,-0.038102177699961416,0.006202236981673467
