ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly
2022-01-01,64.0,59.0,68.0,-50.32730702,0.13885549775527292,-0.007817117900002273
2022-01-02,51.0,47.0,56.0,-50.335533546597105,0.14460036197976886,-0.006636972267743704
2022-01-03,48.0,43.0,53.0,-50.343760073194204,-0.056487277173889586,-0.005534035491853272
2022-01-04,48.0,43.0,52.0,-50.35198659979131,-0.05602475406334573,-0.004522785289281275
2022-01-05,48.0,43.0,52.0,-50.3602131263884,-0.05237798018556526,-0.003613824955387245
2022-01-06,48.0,43.0,53.0,-50.36843965298551,-0.0632291399999369,-0.0028138157063108344
2022-01-07,48.0,43.0,52.0,-50.37666617958261,-0.05533670831186417,-0.002125514266555383
2022-01-08,52.0,47.0,56.0,-50.38489270617971,0.1388554977549293,-0.0015479113155747511
2022-01-09,51.0,47.0,56.0,-50.393119232776804,0.14460036197970066,-0.00107646396332684
2022-01-10,48.0,43.0,52.0,-50.40134575937391,-0.056487277173907266,-0.0007034132180443074
2022-01-11,48.0,43.0,53.0,-50.40957228597101,-0.056024754063346636,-0.0004181754906798171
2022-01-12,48.0,43.0,52.0,-50.417798812568115,-0.052377980185543176,-0.00020779559223427484
2022-01-13,58.0,54.0,63.0,-50.42602533916522,-0.06322913999999742,-5.744745539773902e-05
2022-01-14,70.0,65.0,74.0,-50.43425186576232,-0.05533670831218176,4.903202656950643e-05
2022-01-15,62.0,57.0,66.0,-50.442478392359426,0.1388554977549964,0.00012859109123991488
2022-01-16,51.0,47.0,56.0,-50.45070491895652,0.1446003619794794,0.00019840821645666917
2022-01-17,48.0,43.0,52.0,-50.458931445553624,-0.0564872771740388,0.0002753489855908432
2022-01-18,48.0,43.0,53.0,-50.46715797215072,-0.056024754063347545,0.00037544872437757486
2022-01-19,48.0,43.0,52.0,-50.47538449874783,-0.052377980185547526,0.0005134338600101002
2022-01-20,48.0,44.0,52.0,-50.48361102534492,-0.06322914000005794,0.0007022935812316224
2022-01-21,48.0,43.0,52.0,-50.49183755194203,-0.05533670831218071,0.0009529117434770602
2022-01-22,52.0,47.0,56.0,-50.500064078539125,0.13885549775522554,0.0012737671150302643
2022-01-23,51.0,47.0,56.0,-50.50829060513623,0.1446003619795643,0.0016707080527307416
2022-01-24,48.0,43.0,53.0,-50.51651713173333,-0.056487277173702485,0.00214680558570691
2022-01-25,52.0,47.0,56.0,-50.524743658330436,-0.056024754063244274,0.0027022867308293492
2022-01-26,56.0,52.0,61.0,-50.53297018492754,-0.052377980185545424,0.0033345477218094145
2022-01-27,52.0,48.0,57.0,-50.541196711524634,-0.06322914000003033,0.004038244760520747
2022-01-28,48.0,43.0,53.0,-50.54942323812174,-0.05533670831204083,0.004805457947071382
2022-01-29,51.0,46.0,56.0,-50.55764976471884,0.13885549775545464,0.005625922261427389
2022-01-30,51.0,47.0,56.0,-50.565876291315945,0.1446003619799105,0.006487317896628861
2022-01-31,48.0,43.0,52.0,-50.57410281791304,-0.05648727717383404,0.007375610916493755
2022-02-01,36.0,31.0,40.0,-50.58232934451014,-0.0560247540632452,0.008275434156913501
2022-02-02,36.0,31.0,40.0,-50.59055587110724,-0.05237798018556334,0.009170497529010696
2022-02-03,36.0,31.0,41.0,-50.59878239770435,-0.06322914000017898,0.010044016425791131
2022-02-04,36.0,31.0,40.0,-50.60700896121069,-0.05533670831249725,0.010879146783716504
2022-02-05,39.0,35.0,44.0,-50.61523552471702,0.13885549775535977,0.011659415502308704
2022-02-06,39.0,34.0,44.0,-50.62346208822337,0.1446003619798423,0.0123691353637903
2022-02-07,36.0,31.0,40.0,-50.631688651729704,-0.05648727717385171,0.012993794301486047
2022-02-08,36.0,31.0,40.0,-50.639915215236044,-0.056024754063194016,0.013520409812119813
2022-02-09,35.0,31.0,40.0,-50.64814177874238,-0.05237798018558126,0.013937840461041243
2022-02-10,36.0,31.0,41.0,-50.65636834224872,-0.06322913999992855,0.014237047753592146
2022-02-11,35.0,31.0,40.0,-50.66459490575505,-0.05533670831235738,0.014411303099499043
2022-02-12,39.0,35.0,44.0,-50.67282146926139,0.13885549775558886,0.014456336138036999
2022-02-13,53.0,48.0,58.0,-50.68104803276773,0.144600361979621,0.014370422276061626
2022-02-14,67.0,62.0,72.0,-50.689274596274075,-0.05648727717398325,0.014154408875703413
2022-02-15,50.0,45.0,54.0,-50.69750115978041,-0.05602475406335938,0.013811681072086537
2022-02-16,35.0,31.0,40.0,-50.70572772328675,-0.05237798018555916,0.013348069664569289
2022-02-17,36.0,32.0,41.0,-50.71395428679308,-0.0632291400000772,0.012771704872649534
2022-02-18,36.0,31.0,40.0,-50.722180850299424,-0.05533670831235632,0.012092820948526255
2022-02-19,39.0,35.0,44.0,-50.73040741380576,0.13885549775565598,0.01132351766683382
2022-02-20,39.0,35.0,44.0,-50.738633977312105,0.14460036197939974,0.010477485547793172
2022-02-21,36.0,31.0,40.0,-50.74686054081844,-0.056487277174000934,0.009569702299389492
2022-02-22,36.0,31.0,40.0,-50.75508710432477,-0.05602475406330821,0.008616108378553668
2022-02-23,36.0,31.0,40.0,-50.76331366783111,-0.052377980185577086,0.007633269769527011
2022-02-24,36.0,32.0,41.0,-50.77154023133745,-0.0632291400000496,0.006638036063700239
2022-02-25,36.0,31.0,41.0,-50.77976679484379,-0.05533670831221645,0.005647201708638366
2022-02-26,40.0,35.0,45.0,-50.78799335835012,0.13885549775515035,0.004677177890666706
2022-02-27,40.0,35.0,44.0,-50.79621992185646,0.1446003619802052,0.00374368194345047
2022-02-28,36.0,31.0,41.0,-50.804446485362796,-0.05648727717424634,0.0028614504585796324
2022-03-01,36.0,32.0,41.0,-50.812673048869144,-0.056024754063309104,0.0020439814390687157
2022-03-02,36.0,31.0,41.0,-50.82089961237548,-0.052377980185575,0.0013033099104708392
2022-03-03,37.0,32.0,42.0,-50.82912617588182,-0.06322913999988727,0.0006498204168998776
2022-03-04,36.0,32.0,41.0,-50.83735273938815,-0.05533670831221539,9.209880968822975e-05
2022-03-05,40.0,36.0,44.0,-50.84557930289449,0.1388554977552175,-0.0003631752866443002
2022-03-06,40.0,35.0,45.0,-50.853805866400826,0.144600361980137,-0.000711294945289387
2022-03-07,49.0,44.0,53.0,-50.862032429907174,-0.05648727717426401,-0.0009495519088620098
2022-03-08,63.0,59.0,68.0,-50.87025899341351,-0.05602475406325793,-0.0010772235040449997
2022-03-09,48.0,44.0,53.0,-50.87848581421137,-0.05237798018555932,-0.0010955227291016335
2022-03-10,37.0,32.0,41.0,-50.88671263500925,-0.06322913999994781,-0.0010075144259695094
2022-03-11,36.0,31.0,41.0,-50.89493945580712,-0.05533670831193673,-0.0008180010135000596
2022-03-12,40.0,36.0,45.0,-50.903166276605,0.1388554977554466,-0.0005333816989840333
2022-03-13,40.0,35.0,45.0,-50.911393097402865,0.14460036197991577,-0.00016148939824058473
2022-03-14,36.0,32.0,41.0,-50.919619918200745,-0.056487277173813855,0.0002885902185834634
2022-03-15,36.0,32.0,41.0,-50.92784673899862,-0.05602475406325884,0.0008067130734661031
2022-03-16,36.0,32.0,41.0,-50.93607355979648,-0.05237798018555723,0.0013818799859635137
2022-03-17,37.0,32.0,41.0,-50.94430038059436,-0.06322914000000833,0.0020024446564160968
2022-03-18,36.0,32.0,41.0,-50.95252720139223,-0.055336708311935656,0.0026563222873671032
2022-03-19,40.0,35.0,44.0,-50.96075402219011,0.1388554977555137,0.003331195120194799
2022-03-20,40.0,35.0,45.0,-50.968980842987975,0.14460036197969448,0.00401471153949895
2022-03-21,36.0,32.0,41.0,-50.977207663785855,-0.0564872771739454,0.004694675814943072
