ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly
2022-01-01,69.0,63.0,74.0,-35.13398778,0.07984059606881078,-0.01783249141000226
2022-01-02,55.0,50.0,61.0,-35.13799423272367,0.0703667441563263,-0.017318436084976196
2022-01-03,50.0,45.0,55.0,-35.14200068544734,-0.017598647530936925,-0.016753514879126886
2022-01-04,51.0,46.0,56.0,-35.146007138171015,-0.03593021835980985,-0.0161468908383241
2022-01-05,51.0,46.0,56.0,-35.15001359089469,-0.02999794693104342,-0.015509286124353984
2022-01-06,51.0,46.0,55.0,-35.15402004361836,-0.035157924599982175,-0.014852719649128675
2022-01-07,51.0,46.0,56.0,-35.158026496342025,-0.03152260280302813,-0.014190191409741338
2022-01-08,55.0,50.0,60.0,-35.1620329490657,0.07984059606860634,-0.01353532147407453
2022-01-09,55.0,50.0,61.0,-35.16603940178937,0.07036674415629086,-0.012901953178732167
2022-01-10,50.0,45.0,55.0,-35.17004585451305,-0.017598647530935044,-0.012303731471691457
2022-01-11,51.0,46.0,56.0,-35.174052307236714,-0.035930218359845126,-0.011753668414787654
2022-01-12,51.0,46.0,56.0,-35.178058759960386,-0.029997946931097544,-0.011263708617595392
2022-01-13,62.0,57.0,67.0,-35.18206521268406,-0.03515792459999681,-0.010844307773336016
2022-01-14,76.0,71.0,81.0,-35.18607166540773,-0.03152260280325959,-0.01050403748945293
2022-01-15,66.0,61.0,71.0,-35.190078118131396,0.07984059606864881,-0.010249229240379906
2022-01-16,55.0,50.0,60.0,-35.194084570855075,0.07036674415618516,-0.010083669518649295
2022-01-17,50.0,45.0,55.0,-35.19809102357875,-0.017598647531008416,-0.010008357136305226
2022-01-18,51.0,46.0,56.0,-35.20209747630242,-0.03593021835988039,-0.010021332154328665
2022-01-19,51.0,46.0,56.0,-35.206103929026085,-0.029997946931056115,-0.010117584128586543
2022-01-20,51.0,46.0,56.0,-35.21011038174976,-0.03515792460001145,-0.01028904530038292
2022-01-21,51.0,46.0,55.0,-35.21411683447343,-0.03152260280321936,-0.010524672081343004
2022-01-22,55.0,50.0,60.0,-35.2181232871971,0.07984059606874261,-0.010810615746448754
2022-01-23,55.0,50.0,60.0,-35.222129739920774,0.07036674415622,-0.011130480721589519
2022-01-24,50.0,45.0,55.0,-35.22613619264445,-0.01759864753084729,-0.011465666303611986
2022-01-25,55.0,50.0,61.0,-35.23014264536812,-0.03593021835978492,-0.011795785153209675
2022-01-26,61.0,56.0,66.0,-35.234149098091784,-0.029997946931067693,-0.012099149527193591
