ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly
2022-01-01,99.0,92.0,107.0,-74.21024731,0.15461134913664057,-0.015784516311004013
2022-01-02,81.0,74.0,88.0,-74.22561779993332,0.15446661344956003,-0.013784350940028637
2022-01-03,76.0,69.0,82.0,-74.24098828986666,-0.060963784144057134,-0.011657990869423561
2022-01-04,75.0,68.0,83.0,-74.2563587798,-0.05992421913033148,-0.009449104751079355
2022-01-05,77.0,69.0,83.0,-74.27172926973333,-0.07710274165818395,-0.007201824204314922
2022-01-06,74.0,68.0,82.0,-74.28709975966666,-0.048503942999941846,-0.004959633871680849
2022-01-07,75.0,68.0,82.0,-74.3024702496,-0.06258327465323842,-0.0027643027717402712
2022-01-08,81.0,74.0,88.0,-74.31784073953332,0.15461134913634755,-0.0006548853193073948
2022-01-09,80.0,73.0,87.0,-74.33321122946667,0.15446661344951348,0.0013331819205471343
2022-01-10,75.0,68.0,82.0,-74.3485817194,-0.060963784144011796,0.003168864691830154
2022-01-11,74.0,67.0,81.0,-74.36395220933332,-0.059924219130394016,0.004826177299570483
2022-01-12,76.0,69.0,83.0,-74.37932269926667,-0.07710274165819436,0.006284675375589634
2022-01-13,88.0,81.0,95.0,-74.3946931892,-0.04850394299999895,0.007529784409670767
2022-01-14,108.0,100.0,114.0,-74.41006367913333,-0.0625832746534928,0.008552958083421831
2022-01-15,95.0,88.0,102.0,-74.42543416906666,0.15461134913639846,0.009351665346833949
2022-01-16,80.0,73.0,87.0,-74.44080465900001,0.1544666134492102,0.009929210055570573
2022-01-17,74.0,67.0,81.0,-74.45617514893333,-0.060963784144178225,0.010294391701515334
2022-01-18,74.0,67.0,81.0,-74.47154563886667,-0.05992421913045658,0.01046102018533987
2022-01-19,75.0,68.0,82.0,-74.48691612879999,-0.0771027416582104,0.01044730157445413
2022-01-20,73.0,66.0,80.0,-74.50228661873332,-0.04850394300005607,0.010275115250692288
2022-01-21,74.0,67.0,82.0,-74.51765710866667,-0.062583274653534,0.009969205684827296
2022-01-22,80.0,73.0,87.0,-74.53302759859999,0.1546113491367002,0.009556314203328248
2022-01-23,80.0,73.0,87.0,-74.54839808853333,0.1544666134494204,0.009064277481092571
2022-01-24,74.0,68.0,82.0,-74.56376857846666,-0.06096378414390532,0.008521120069710834
