ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly
2022-01-01,32.0,23.0,41.0,2.568885355,4.3015997605236524,2.275694207001106
2022-01-02,28.0,19.0,37.0,2.687463678574879,4.4472964889790205,1.8502330972008738
2022-01-03,26.0,17.0,35.0,2.8060420021497583,-1.8757003666936694,1.4259988214720367
2022-01-04,26.0,17.0,36.0,2.924620325724638,-1.8022766027612365,1.007357630879802
2022-01-05,26.0,16.0,34.0,3.043198649299517,-1.857271388067462,0.5985149771844204
2022-01-06,26.0,18.0,36.0,3.161776972874396,-1.623977319998163,0.20341285936285813
2022-01-07,26.0,17.0,36.0,3.280355296449275,-1.5896705719696154,-0.17436499572766173
2022-01-08,27.0,18.0,35.0,3.3989336200241542,4.301599760514306,-0.5316775506524097
2022-01-09,27.0,18.0,36.0,3.517511943599034,4.447296488977178,-0.8658982075999196
2022-01-10,24.0,16.0,33.0,3.636090267173913,-1.8757003666936845,-1.174971991844169
2022-01-11,24.0,15.0,33.0,3.7546685907487922,-1.802276602761681,-1.457456686384472
2022-01-12,24.0,15.0,33.0,3.8732469143236714,-1.8572713880665974,-1.7125468931890728
2022-01-13,31.0,22.0,40.0,3.9918252378985506,-1.6239773199999636,-1.9400804809365166
2022-01-14,40.0,31.0,49.0,4.11040356147343,-1.5896705719778295,-2.140527376613925
2022-01-15,32.0,23.0,41.0,4.228981885048309,4.301599760516044,-2.314961154660968
2022-01-16,26.0,18.0,35.0,4.347560208623189,4.447296488969637,-2.4650143583838418
2022-01-17,24.0,15.0,33.0,4.466138532198068,-1.8757003666980028,-2.592818940574895
2022-01-18,24.0,15.0,33.0,4.584716855772947,-1.8022766027621262,-2.7009336207962495
2022-01-19,24.0,15.0,32.0,4.703295179347826,-1.857271388067641,-2.792260314236703
2022-01-20,25.0,16.0,34.0,4.8218735029227044,-1.6239773200017642,-2.86995208141063
2022-01-21,26.0,17.0,35.0,4.940451826497584,-1.589670571978533,-2.937315271174156
2022-01-22,27.0,18.0,37.0,5.059030150072463,4.3015997605237475,-2.997708675583016
2022-01-23,28.0,20.0,37.0,5.177608473647344,4.447296488973494,-3.054442580176649
2022-01-24,25.0,15.0,34.0,5.296186797222222,-1.8757003666882346,-3.110680575954879
2022-01-25,29.0,21.0,39.0,5.414765120797101,-1.8022766027584596,-3.1693469004965946
2022-01-26,34.0,25.0,43.0,5.5333434443719804,-1.857271388067376,-3.2330418986198013
2022-01-27,31.0,21.0,40.0,5.65192176794686,-1.6239773200004293,-3.3039679432101603
2022-01-28,28.0,19.0,36.0,5.770500091521739,-1.5896705719741844,-3.3838678418471133
2022-01-29,29.0,20.0,38.0,5.889078415096618,4.301599760531451,-3.473977384083705
2022-01-30,30.0,21.0,39.0,6.007656738671497,4.447296488983243,-3.5749932685487873
2022-01-31,26.0,17.0,35.0,6.126235062246376,-1.875700366692554,-3.68705720069507
2022-02-01,26.0,17.0,35.0,6.244813385821256,-1.8022766027589046,-3.8097564839990907
2022-02-02,25.0,16.0,34.0,6.363391709396135,-1.8572713880677094,-3.9421409533058136
2022-02-03,26.0,18.0,35.0,6.481970032971015,-1.6239773200053655,-4.082755632459119
2022-02-04,26.0,17.0,36.0,6.600437311565508,-1.5896705719874502,-4.2296880526933585
2022-02-05,27.0,18.0,36.0,6.71890459016,4.301599760527223,-4.380628756207967
2022-02-06,27.0,18.0,36.0,6.837371868754492,4.4472964889814,-4.532943142468436
2022-02-07,22.0,14.0,31.0,6.9558391473489865,-1.8757003666925693,-4.6837525034383605
2022-02-08,22.0,13.0,31.0,7.074306425943479,-1.8022766027572936,-4.8300218466504194
2022-02-09,21.0,12.0,30.0,7.192773704537972,-1.857271388068044,-4.968651928512209
2022-02-10,22.0,13.0,31.0,7.311240983132463,-1.623977319998045,-5.096572819156016
2022-02-11,22.0,13.0,31.0,7.429708261726957,-1.5896705719831024,-5.210836296791925
2022-02-12,23.0,14.0,32.0,7.548175540321449,4.301599760534926,-5.30870442413125
2022-02-13,41.0,33.0,50.0,7.666642818915943,4.447296488973859,-5.387731789850258
2022-02-14,58.0,49.0,68.0,7.785110097510436,-1.875700366696888,-5.445839099904295
2022-02-15,37.0,28.0,47.0,7.903577376104928,-1.8022766027619765,-5.481376070542452
2022-02-16,19.0,10.0,28.0,8.022044654699421,-1.8572713880671792,-5.493171898754586
2022-02-17,21.0,13.0,30.0,8.140511933293913,-1.623977320002981,-5.4805719569552505
2022-02-18,22.0,13.0,32.0,8.258979211888406,-1.5896705719838051,-5.443459765732094
2022-02-19,25.0,16.0,34.0,8.3774464904829,4.301599760536663,-5.382263729485988
2022-02-20,27.0,18.0,37.0,8.495913769077394,4.44729648896632,-5.29794856200359
2022-02-21,23.0,15.0,31.0,8.614381047671884,-1.8757003666969032,-5.19199176954556
2022-02-22,25.0,15.0,34.0,8.732848326266376,-1.8022766027603656,-5.066345985086351
2022-02-23,26.0,18.0,35.0,8.85131560486087,-1.8572713880675136,-4.923388346662964
2022-02-24,30.0,21.0,39.0,8.969782883455363,-1.623977320001646,-4.765858473936231
2022-02-25,32.0,23.0,42.0,9.088250162049857,-1.589670571979457,-4.596786909884447
2022-02-26,36.0,27.0,45.0,9.206717440644349,4.301599760521353,-4.419416150279646
2022-02-27,40.0,31.0,49.0,9.325184719238841,4.447296488993164,-4.237116575287901
2022-02-28,36.0,27.0,45.0,9.443651997833335,-1.8757003667055256,-4.0532997201385355
2022-03-01,80.0,71.0,89.0,9.562119276427826,-1.8022766027608106,-3.8713313723478047
2022-03-02,82.0,73.0,92.0,9.68058655502232,-1.8572713880672487,-3.6944469605884223
2022-03-03,87.0,78.0,98.0,9.799053833616814,-1.6239773199974614,-3.5256716063292957
2022-03-04,90.0,81.0,100.0,9.917521112211306,-1.5896705719801603,-3.367747047188945
2022-03-05,95.0,86.0,104.0,10.035988390805798,4.30159976052309,-3.2230674159691484
2022-03-06,99.0,90.0,108.0,10.15445566940029,4.447296488991322,-3.093625578727255
2022-03-07,115.0,105.0,123.0,10.272922947994783,-1.8757003667055414,-2.9809714078323437
2022-03-08,142.0,134.0,151.0,10.391390226589277,-1.8022766027591994,-2.886183001788184
2022-03-09,118.0,109.0,127.0,10.394056212623381,-1.857271388067692,-2.809851473795204
2022-03-10,101.0,91.0,110.0,10.39672219865749,-1.6239773199992618,-2.7520795273592196
2022-03-11,102.0,93.0,110.0,10.399388184691595,-1.5896705719707618,-2.7124936317950024
2022-03-12,104.0,95.0,113.0,10.402054170725702,4.301599760530793,-2.690269215247822
2022-03-13,106.0,97.0,114.0,10.404720156759808,4.447296488983781,-2.6841679195174186
2022-03-14,99.0,90.0,108.0,10.407386142793914,-1.8757003666914696,-2.692585620392331
2022-03-15,99.0,91.0,108.0,10.41005212882802,-1.8022766027596446,-2.7136096191806383
2022-03-16,99.0,89.0,107.0,10.412718114862125,-1.8572713880674272,-2.7450831641544053
2022-03-17,101.0,92.0,110.0,10.415384100896233,-1.6239773200010625,-2.784675271543205
2022-03-18,101.0,92.0,110.0,10.41805008693034,-1.5896705719714643,-2.829953689612657
2022-03-19,102.0,93.0,111.0,10.420716072964446,4.301599760532531,-2.8784587893728695
2022-03-20,103.0,94.0,113.0,10.423382058998552,4.4472964889762405,-2.927776172727181
2022-03-21,96.0,87.0,104.0,10.426048045032658,-1.8757003666957885,-2.975605862478317
2022-03-22,96.0,88.0,106.0,10.428714031066765,-1.8022766027559785,-3.0198260756734947
2022-03-23,96.0,86.0,104.0,10.431380017100869,-1.8572713880671619,-3.0585497775150006
2022-03-24,128.0,119.0,138.0,10.434046003134977,-1.6239773199997272,-3.090172460950434
2022-03-25,166.0,156.0,175.0,10.436711989169083,-1.5896705719847302,-3.113409889072293
2022-03-26,130.0,121.0,140.0,10.43937797520319,4.30159976051722,-3.1273248642630214
2022-03-27,101.0,92.0,111.0,10.442043961237296,4.447296488974398,-3.131342439326341
2022-03-28,95.0,86.0,104.0,10.444709947271402,-1.875700366700107,-3.125253350693414
2022-03-29,96.0,87.0,105.0,10.447375933305509,-1.8022766027564234,-3.1092058208761024
2022-03-30,95.0,87.0,105.0,10.450041919339613,-1.857271388067606,-3.083686235396759
2022-03-31,98.0,90.0,107.0,10.452707905373721,-1.6239773199983925,-3.049489537537051
2022-04-01,99.0,90.0,108.0,10.455373891407827,-1.589670571980382,-3.0076804921926708
2022-04-02,102.0,93.0,110.0,10.458039877441934,4.301599760512992,-2.959547238653693
2022-04-03,104.0,96.0,113.0,10.46070586347604,4.447296488972556,-2.9065487733384288
2022-04-04,98.0,89.0,107.0,10.463371849510146,-1.8757003667001229,-2.850258170902259
2022-04-05,99.0,90.0,108.0,10.466037835544252,-1.8022766027611063,-2.792303461008091
2022-04-06,99.0,90.0,108.0,10.468703821578359,-1.8572713880679401,-2.734308125463603
2022-04-07,102.0,93.0,111.0,10.471369807612465,-1.623977320000193,-2.6778331654266734
2022-04-08,103.0,94.0,113.0,10.474035793646571,-1.5896705719760345,-2.6243226118728304
2022-04-09,106.0,97.0,115.0,10.476701779680678,4.301599760520696,-2.5750542173869637
2022-04-10,108.0,99.0,118.0,10.479367765714784,4.447296488988004,-2.531096878213451
2022-04-11,101.0,92.0,111.0,10.439669231024252,-1.8757003667001377,-2.49327609870276
2022-04-12,102.0,93.0,111.0,10.399970696333721,-1.8022766027594959,-2.462148533563585
2022-04-13,115.0,106.0,124.0,10.36027216164319,-1.8572713880670753,-2.4379863356579836
2022-04-14,185.0,177.0,194.0,10.320573626952658,-1.6239773200019934,-2.4207717083458413
2022-04-15,117.0,108.0,126.0,10.280875092262127,-1.589670571976737,-2.4102017221143717
2022-04-16,105.0,96.0,114.0,10.241176557571595,4.301599760522433,-2.405703116217013
2022-04-17,106.0,97.0,116.0,10.201478022881064,4.447296488980462,-2.406456478071594
2022-04-18,99.0,91.0,109.0,10.16177948819053,-1.8757003667044572,-2.4114288865923093
2022-04-19,100.0,91.0,110.0,10.122080953500001,-1.802276602757885,-2.4194138301677346
2022-04-20,99.0,89.0,108.0,10.08238241880947,-1.8572713880674094,-2.429076974298656
2022-04-21,101.0,91.0,110.0,10.042683884118938,-1.6239773199978087,-2.4390061654533337
2022-04-22,100.0,91.0,109.0,10.002985349428407,-1.5896705719849518,-2.4477639223412635
2022-04-23,102.0,93.0,111.0,9.963286814737875,4.301599760530136,-2.4539405878504517
2022-04-24,103.0,94.0,112.0,9.923588280047342,4.447296488984321,-2.45620629676528
2022-04-25,96.0,87.0,105.0,9.883889745356813,-1.8757003667087757,-2.4533599566024624
2022-04-26,97.0,88.0,106.0,9.844191210666283,-1.8022766027625687,-2.444373540176888
2022-04-27,96.0,87.0,105.0,9.80449267597575,-1.8572713880671445,-2.4284301455694526
2022-04-28,98.0,88.0,107.0,9.764794141285218,-1.6239773199964738,-2.4049544870929402
2022-04-29,98.0,88.0,107.0,9.725095606594687,-1.589670571985655,-2.3736347330184677
2022-04-30,100.0,91.0,109.0,9.685397071904154,4.301599760531874,-2.3344348942557134
2022-05-01,102.0,93.0,111.0,9.645698537213624,4.447296488976779,-2.287597283743715
2022-05-02,96.0,87.0,105.0,9.606000002523094,-1.875700366694704,-2.2336348989443198
2022-05-03,97.0,88.0,105.0,9.566301467832561,-1.8022766027609578,-2.1733139189604596
2022-05-04,96.0,87.0,105.0,9.52660293314203,-1.8572713880674785,-2.1076268425966007
2022-05-05,99.0,89.0,108.0,9.486904398451498,-1.6239773200014098,-2.0377571133651666
2022-05-06,99.0,90.0,108.0,9.447205863760967,-1.5896705719762558,-1.9650363717628392
2022-05-07,102.0,93.0,111.0,9.407507329070436,4.301599760516562,-1.890895734462504
2022-05-08,103.0,93.0,112.0,9.367808794379906,4.447296488974937,-1.8168127159761458
2022-05-09,97.0,88.0,107.0,9.328110259689373,-1.875700366699023,-1.744255573548597
2022-05-10,98.0,90.0,107.0,9.288411724998841,-1.8022766027614023,-1.674626964998351
2022-05-11,98.0,89.0,107.0,9.24871319030831,-1.8572713880672134,-1.6092088579388237
2022-05-12,100.0,92.0,109.0,9.209014655617777,-1.6239773200000749,-1.5491106153026912
2022-05-13,101.0,92.0,110.0,9.169316120927249,-1.5896705719769586,-1.4952221061876803
2022-05-14,103.0,93.0,112.0,9.129893728782612,4.301599760518299,-1.4481735545865937
2022-05-15,104.0,94.0,114.0,9.090471336637973,4.447296488967395,-1.4083036453028803
2022-05-16,98.0,89.0,107.0,9.051048944493337,-1.8757003667033416,-1.375637161763493
2022-05-17,98.0,89.0,107.0,9.011626552348698,-1.8022766027577362,-1.3498731417278995
2022-05-18,98.0,89.0,106.0,8.972204160204061,-1.857271388067657,-1.3303842126215217
2022-05-19,99.0,91.0,108.0,8.932781768059423,-1.6239773200018752,-1.316227418149516
2022-05-20,99.0,91.0,109.0,8.893359375914786,-1.589670571977662,-1.3061664826366564
2022-05-21,101.0,91.0,109.0,8.853936983770147,4.301599760526003,-1.2987050903697919
2022-05-22,102.0,93.0,111.0,8.81451459162551,4.447296488965553,-1.2921303955421835
2022-05-23,96.0,86.0,105.0,8.775092199480872,-1.875700366684967,-1.2845656354999795
2022-05-24,96.0,87.0,104.0,8.735669807336235,-1.8022766027581807,-1.2740304067118733
2022-05-25,95.0,86.0,104.0,8.696247415191596,-1.857271388067392,-1.2585068892585876
2022-05-26,97.0,88.0,106.0,8.65682502304696,-1.6239773199976908,-1.2360100805748868
2022-05-27,97.0,88.0,106.0,8.61740263090232,-1.5896705719733142,-1.2046599302108403
2022-05-28,99.0,90.0,108.0,8.577980238757684,4.301599760521775,-1.1627531604003385
2022-05-29,100.0,91.0,109.0,8.538557846613045,4.447296488981002,-1.1088325162927188
2022-05-30,95.0,86.0,104.0,8.499135454468409,-1.8757003666935894,-1.0417512169635337
2022-05-31,96.0,87.0,105.0,8.45971306232377,-1.8022766027586252,-0.9607304737915718
2022-06-01,96.0,86.0,104.0,8.420290670179135,-1.8572713880677263,-0.8654081045542488
2022-06-02,98.0,89.0,107.0,8.380868278034495,-1.6239773199994914,-0.75587649558833
2022-06-03,99.0,90.0,108.0,8.341445885889858,-1.5896705719916304,-0.6327084447340516
2022-06-04,101.0,92.0,111.0,8.30202349374522,4.301599760529478,-0.4969697468430401
2022-06-05,103.0,94.0,113.0,8.262601101600582,4.4472964889848585,-0.35021775219461376
2022-06-06,99.0,90.0,108.0,8.223178709455945,-1.8757003666936045,-0.1944855257890585
2022-06-07,100.0,91.0,109.0,8.183756317311309,-1.8022766027570147,-0.03225165072665176
2022-06-08,101.0,91.0,110.0,8.14433392516667,-1.8572713880668619,0.13360386033836597
2022-06-09,103.0,94.0,112.0,8.104911533022031,-1.6239773200012917,0.29985666768736474
2022-06-10,104.0,95.0,114.0,8.065489140877395,-1.5896705719822315,0.4630069480782305
2022-06-11,107.0,99.0,116.0,8.026066748732758,4.301599760537181,0.6193583424323879
2022-06-12,109.0,100.0,118.0,7.986644356588118,4.447296488977317,0.7651050486883324
2022-06-13,104.0,95.0,113.0,7.947221964443481,-1.8757003666979235,0.8964248305996779
2022-06-14,105.0,96.0,114.0,7.907799572298844,-1.802276602763754,1.0095755033170306
2022-06-15,105.0,96.0,114.0,7.868377180154208,-1.857271388067196,1.100992313779842
2022-06-16,124.0,116.0,133.0,7.8261643090772015,-1.6239773200030923,1.1673835630658427
2022-06-17,146.0,137.0,155.0,7.783951438000197,-1.5896705719829345,1.2058218218410175
2022-06-18,125.0,116.0,134.0,7.741738566923193,4.3015997605389185,1.2138281694831177
2022-06-19,108.0,98.0,117.0,7.699525695846188,4.447296488992765,1.1894470409009383
2022-06-20,102.0,93.0,111.0,7.657312824769182,-1.8757003667022425,1.13130948879734
2022-06-21,101.0,92.0,110.0,7.615099953692178,-1.8022766027600872,1.0386829574451966
2022-06-22,99.0,90.0,108.0,7.572887082615173,-1.8572713880670404,0.9115060092680435
2022-06-23,99.0,91.0,108.0,7.530674211538169,-1.6239773200017575,0.7504068383303879
2022-06-24,98.0,88.0,107.0,7.488461340461164,-1.5896705719785866,0.5567048344322306
2022-06-25,97.0,88.0,106.0,7.446248469384159,4.301599760529573,0.33239491595205956
2022-06-26,96.0,87.0,105.0,7.4040355983071535,4.447296488985224,0.08011481619313765
2022-06-27,88.0,79.0,97.0,7.36182272723015,-1.8757003667065608,-0.19690402641363108
2022-06-28,86.0,77.0,95.0,7.319609856153144,-1.8022766027605324,-0.4949008724974469
2022-06-29,83.0,74.0,92.0,7.277396985076139,-1.8572713880673746,-0.8096638542441577
2022-06-30,82.0,72.0,91.0,7.235184113999135,-1.6239773199975724,-1.1366200050250903
2022-07-01,48.0,39.0,57.0,7.19297124292213,-1.5896705719742386,-1.4709349002313303
2022-07-02,47.0,37.0,56.0,7.150758371845126,4.301599760525345,-1.8076193887449454
2022-07-03,45.0,36.0,54.0,7.10854550076812,4.447296488989081,-2.1416406879167535
2022-07-04,38.0,29.0,48.0,7.066332629691115,-1.875700366706577,-2.468034982687935
2022-07-05,36.0,28.0,45.0,7.024119758614111,-1.8022766027589208,-2.7820186155854
2022-07-06,34.0,24.0,43.0,6.981906887537106,-1.8572713880677085,-3.079094980603063
2022-07-07,33.0,24.0,43.0,6.9396940164601,-1.6239773199962375,-3.355154340006408
2022-07-08,31.0,22.0,40.0,6.897481145383097,-1.589670571969891,-3.606563966161722
2022-07-09,31.0,22.0,40.0,6.855268274306091,4.301599760527083,-3.830246265706145
2022-07-10,31.0,21.0,39.0,6.813055403229087,4.44729648898154,-4.0237428637384625
2022-07-11,25.0,15.0,34.0,6.770842532152082,-1.8757003666925047,-4.185263002365588
2022-07-12,24.0,15.0,33.0,6.728629661075077,-1.8022766027573103,-4.313715030499865
