ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly
2022-01-01,88.0,82.0,94.0,-69.19700989,0.14940203690767828,0.009512913239997643
2022-01-02,73.0,66.0,79.0,-69.19385652285797,0.14204912032549097,0.010881015939402694
2022-01-03,67.0,61.0,73.0,-69.19070315571594,-0.05516296548218187,0.01212532054362764
2022-01-04,67.0,61.0,73.0,-69.18754978857392,-0.05474596741687304,0.013208567519895086
2022-01-05,67.0,61.0,74.0,-69.18439642143188,-0.059553999726174936,0.014098282233785966
2022-01-06,68.0,61.0,73.0,-69.18124305428985,-0.06239965499994356,0.01476758003128098
2022-01-07,67.0,61.0,73.0,-69.17808968714782,-0.0595885696075172,0.015195812454147322
2022-01-08,72.0,66.0,78.0,-69.1749363200058,0.14940203690735257,0.015369038508489447
2022-01-09,72.0,66.0,78.0,-69.17178295286377,0.1420491203254275,0.015280309836937534
2022-01-10,67.0,61.0,73.0,-69.16862958572173,-0.055162965482166156,0.01492976385644931
2022-01-11,67.0,61.0,73.0,-69.16547621857971,-0.05474596741690846,0.014324524268518267
2022-01-12,67.0,62.0,73.0,-69.16232285143768,-0.059553999726199194,0.013478413675752211
2022-01-13,81.0,75.0,87.0,-69.15916948429566,-0.062399654999996945,0.012411488198219515
2022-01-14,151.0,145.0,158.0,-69.15601611715363,-0.05958856960785939,0.011149408830260773
2022-01-15,86.0,80.0,92.0,-69.1528627500116,0.14940203690741471,0.00972266867862502
2022-01-16,73.0,67.0,79.0,-69.14970938286956,0.14204912032517736,0.008165699053893936
2022-01-17,68.0,62.0,74.0,-69.14655601572753,-0.055162965482306855,0.006515880544431953
2022-01-18,68.0,61.0,73.0,-69.14340264858551,-0.05474596741694383,0.0048124876001617006
2022-01-19,68.0,62.0,74.0,-69.14024928144347,-0.05955399972616221,0.00309559672909267
2022-01-20,68.0,62.0,74.0,-69.13709591430145,-0.06239965500005033,0.0014049891233093087
2022-01-21,68.0,62.0,75.0,-69.13394254715942,-0.05958856960785222,-0.00022092163172369658
2022-01-22,73.0,67.0,79.0,-69.13078918001739,0.1494020369076567,-0.001746107139323765
2022-01-23,74.0,68.0,80.0,-69.12763581287537,0.14204912032530048,-0.003137859299624193
2022-01-24,68.0,62.0,74.0,-69.12448244573334,-0.055162965482025206,-0.004367617809476364
2022-01-25,74.0,67.0,80.0,-69.1213290785913,-0.054745967416788756,-0.005411668243046488
2022-01-26,81.0,75.0,86.0,-69.11817571144927,-0.059553999726171265,-0.006251692816264621
2022-01-27,74.0,68.0,80.0,-69.11502234430725,-0.062399655000035865,-0.006875160327630751
2022-01-28,69.0,63.0,75.0,-69.11186897716522,-0.05958856960770753,-0.007275546502728752
2022-01-29,73.0,67.0,79.0,-69.10871561002318,0.1494020369078987,-0.0074523809119138446
2022-01-30,74.0,68.0,80.0,-69.10556224288116,0.142049120325634,-0.007411121636091719
2022-01-31,68.0,63.0,75.0,-69.10240887573913,-0.0551629654821659,-0.007162863779989349
2022-02-01,56.0,50.0,62.0,-69.09925550859711,-0.05474596741682415,-0.006723892634061394
2022-02-02,56.0,50.0,62.0,-69.09610214145508,-0.05955399972616513,-0.006115096631823934
2022-02-03,57.0,51.0,62.0,-69.09294877431304,-0.06239965500015711,-0.005361259115259741
2022-02-04,56.0,50.0,63.0,-69.08979542084884,-0.059588569608187224,-0.004490251199839609
2022-02-05,61.0,55.0,67.0,-69.08664206738466,0.14940203690778098,-0.003532150631050317
2022-02-06,61.0,55.0,67.0,-69.08348871392046,0.14204912032557052,-0.002518313377326905
2022-02-07,56.0,50.0,62.0,-69.08033536045627,-0.055162965482150175,-0.0014804257606386047
2022-02-08,56.0,49.0,62.0,-69.07718200699208,-0.05474596741676431,-0.0004495651623664873
2022-02-09,56.0,50.0,62.0,-69.07402865352789,-0.059553999726159004,0.0005447032424543523
2022-02-10,56.0,50.0,62.0,-69.07087530006369,-0.06239965499993369,0.0014751676513219264
2022-02-11,56.0,49.0,62.0,-69.06772194659949,-0.059588569608042555,0.0023177247618685623
2022-02-12,60.0,54.0,66.0,-69.0645685931353,0.14940203690802295,0.003052027736259366
2022-02-13,79.0,74.0,85.0,-69.0614152396711,0.1420491203253204,0.003662009286519734
2022-02-14,97.0,91.0,103.0,-69.0582618862069,-0.055162965482290875,0.0041362660628942675
2022-02-15,74.0,68.0,80.0,-69.05510853274272,-0.054745967416914655,0.004468294796809692
2022-02-16,56.0,50.0,61.0,-69.05195517927852,-0.05955399972618324,0.004656575161569702
2022-02-17,56.0,50.0,62.0,-69.04880182581432,-0.062399655000054934,0.004704498933594594
2022-02-18,56.0,50.0,62.0,-69.04564847235014,-0.05958856960803538,0.004620149626906813
2022-02-19,60.0,54.0,66.0,-69.04249511888594,0.1494020369080851,0.004415941198718864
2022-02-20,61.0,55.0,67.0,-69.03934176542175,0.1420491203250703,0.004108128554403961
2022-02-21,55.0,49.0,62.0,-69.03618841195755,-0.055162965482275145,0.003716206295916004
2022-02-22,55.0,50.0,61.0,-69.03303505849337,-0.05474596741685481,0.0032622153513887746
2022-02-23,56.0,49.0,62.0,-69.02988170502917,-0.05955399972617713,0.0027699797040947366
2022-02-24,56.0,50.0,62.0,-69.02672835156498,-0.062399655000040466,0.0022642973342646452
