ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly
2022-01-01,56.0,51.0,60.0,-47.40718767,0.19408825875555347,0.00713029258399444
2022-01-02,44.0,40.0,49.0,-47.412111782478256,0.17738250520198237,0.009885554085692753
2022-01-03,40.0,36.0,45.0,-47.41703589495653,-0.06839191648715119,0.012434223156348116
2022-01-04,40.0,36.0,45.0,-47.421960007434784,-0.06800690271904011,0.014742557518654534
2022-01-05,41.0,36.0,45.0,-47.42688411991304,-0.08077375758695282,0.016782647551053
2022-01-06,40.0,35.0,45.0,-47.431808232391305,-0.07486008999993274,0.018532913099405055
2022-01-07,41.0,36.0,45.0,-47.43673234486957,-0.07943809716383772,0.019978431178015694
2022-01-08,43.0,38.0,48.0,-47.441656457347825,0.19408825875515917,0.021111088015415412
2022-01-09,44.0,39.0,49.0,-47.44658056982609,0.17738250520190943,0.02192955380623652
2022-01-10,40.0,35.0,45.0,-47.451504682304346,-0.06839191648710298,0.022439083454353255
2022-01-11,40.0,35.0,45.0,-47.45642879478261,-0.06800690271911344,0.022651151393924387
2022-01-12,41.0,36.0,45.0,-47.46135290726087,-0.08077375758701616,0.022582933116425577
2022-01-13,50.0,46.0,55.0,-47.46627701973913,-0.07486008999999585,0.02225665018412787
2022-01-14,102.0,98.0,107.0,-47.471201132217395,-0.07943809716426836,0.021698799155877628
2022-01-15,53.0,49.0,58.0,-47.47612524469565,0.19408825875523275,0.02093928788683851
2022-01-16,44.0,39.0,49.0,-47.481049357173916,0.1773825052015691,0.0200105050050096
2022-01-17,40.0,36.0,45.0,-47.48597346965217,-0.06839191648728944,0.018946349949848115
2022-01-18,40.0,36.0,45.0,-47.49089758213044,-0.06800690271918677,0.01778125173982476
2022-01-19,41.0,36.0,45.0,-47.49582169460869,-0.08077375758694794,0.01654920459777449
2022-01-20,41.0,36.0,45.0,-47.50074580708696,-0.07486009000005897,0.015282847710748837
2022-01-21,41.0,36.0,46.0,-47.505669919565214,-0.0794380971642617,0.014012614763821322
2022-01-22,44.0,39.0,48.0,-47.51059403204348,0.19408825875555336,0.012765976517220883
2022-01-23,45.0,40.0,49.0,-47.51551814452174,0.17738250520176346,0.01156679666611047
2022-01-24,41.0,36.0,45.0,-47.520442257,-0.06839191648697784,0.010434817625143904
2022-01-25,45.0,40.0,49.0,-47.525366369478256,-0.06800690271894894,0.009385288824073934
2022-01-26,50.0,46.0,55.0,-47.53029048195653,-0.08077375758696564,0.008428745708411697
2022-01-27,45.0,40.0,50.0,-47.535214594434784,-0.07486009000004873,0.007570943041223367
2022-01-28,41.0,37.0,46.0,-47.54013870691304,-0.07943809716407726,0.006812941436414715
2022-01-29,44.0,39.0,49.0,-47.545062819391305,0.1940882587558739,0.006151341458052571
2022-01-30,45.0,40.0,50.0,-47.54998693186957,0.1773825052021602,0.005578655231118489
2022-01-31,41.0,36.0,45.0,-47.554911044347826,-0.0683919164871643,0.005083801455329006
2022-02-01,41.0,36.0,46.0,-47.55983515682608,-0.06800690271902225,0.004652706115210856
2022-02-02,41.0,37.0,46.0,-47.56475926930435,-0.0807737575869377,0.00426898814075343
2022-02-03,41.0,37.0,46.0,-47.56968338178261,-0.07486009000018518,0.003914706882771081
2022-02-04,41.0,36.0,46.0,-47.57460749631153,-0.07943809716468568,0.003571146593401804
2022-02-05,44.0,40.0,49.0,-47.57953161084045,0.19408825875570052,0.003219612192911574
2022-02-06,45.0,41.0,50.0,-47.58445572536936,0.17738250520208723,0.002842210482326386
2022-02-07,41.0,36.0,45.0,-47.589379839898285,-0.0683919164871161,0.0024225916288031805
2022-02-08,41.0,37.0,45.0,-47.5943039544272,-0.06800690271894,0.0019466271832889893
2022-02-09,42.0,37.0,47.0,-47.599228068956116,-0.0807737575869098,0.0014030030424535362
2022-02-10,41.0,36.0,46.0,-47.604152183485034,-0.0748600899999193,0.0007837085712267345
2022-02-11,42.0,37.0,46.0,-47.609076298013946,-0.07943809716450125,8.440647208982858e-05
2022-02-12,44.0,40.0,49.0,-47.61400041254287,0.1940882587560211,-0.0006953281814757201
2022-02-13,59.0,55.0,64.0,-47.61892452707178,0.17738250520174695,-0.00155190715460471
2022-02-14,72.0,67.0,77.0,-47.6238486416007,-0.06839191648730258,-0.0024777695188728834
2022-02-15,55.0,51.0,60.0,-47.62877275612962,-0.06800690271911573,-0.0034615619190644376
2022-02-16,42.0,37.0,47.0,-47.63369687065854,-0.08077375758697311,-0.004488452758532312
2022-02-17,42.0,37.0,46.0,-47.63862098518746,-0.07486009000005577,-0.005540570190427831
2022-02-18,42.0,37.0,47.0,-47.64354509971637,-0.0794380971644946,-0.006597549886379687
2022-02-19,45.0,40.0,49.0,-47.64846921424529,0.19408825875609464,-0.007637175074888038
2022-02-20,46.0,41.0,50.0,-47.65339332877421,0.17738250520140666,-0.008636088404739688
2022-02-21,42.0,37.0,47.0,-47.658317443303126,-0.06839191648725436,-0.009570552883133927
2022-02-22,42.0,37.0,46.0,-47.663241557832045,-0.06800690271903344,-0.010417237535191269
2022-02-23,42.0,37.0,47.0,-47.66816567236096,-0.0807737575869452,-0.01115400258009018
2022-02-24,42.0,37.0,47.0,-47.67308978688988,-0.07486009000004554,-0.011760658845481078
2022-02-25,42.0,38.0,47.0,-47.678013901418794,-0.07943809716431016,-0.012219676849959938
2022-02-26,45.0,40.0,50.0,-47.68293801594771,0.19408825875545335,-0.01251682245189316
2022-02-27,46.0,41.0,50.0,-47.68786213047663,0.1773825052026054,-0.012641698148952708
2022-02-28,42.0,37.0,47.0,-47.69278624500555,-0.06839191648767552,-0.012588171950643382
2022-03-01,49.0,45.0,54.0,-47.69771035953447,-0.06800690271910675,-0.012354679150750232
2022-03-02,50.0,45.0,55.0,-47.70263447406339,-0.0807737575869629,-0.011944386196159576
2022-03-03,50.0,44.0,54.0,-47.7075585885923,-0.07486008999985302,-0.011365210065569018
2022-03-04,50.0,45.0,54.0,-47.71248270312122,-0.07943809716430353,-0.010629691009474349
2022-03-05,52.0,48.0,57.0,-47.71740681765014,0.1940882587555269,-0.00975472102684453
2022-03-06,53.0,48.0,58.0,-47.722330932179055,0.17738250520253238,-0.008761134926936382
2022-03-07,61.0,56.0,66.0,-47.727255046707974,-0.0683919164876273,-0.007673175110579293
2022-03-08,76.0,71.0,80.0,-47.73217916123689,-0.06800690271902453,-0.006517845173436187
2022-03-09,62.0,57.0,66.0,-47.7371032750327,-0.0807737575869403,-0.005324170962307534
2022-03-10,49.0,45.0,54.0,-47.74202738882852,-0.07486008999991614,-0.00412239069572916
2022-03-11,49.0,45.0,54.0,-47.74695150262433,-0.07943809716394132,-0.002943098099867487
2022-03-12,52.0,47.0,57.0,-47.75187561642014,0.19408825875584748,-0.0018163641355161647
2022-03-13,53.0,48.0,58.0,-47.75679973021595,0.1773825052021921,-0.0007708637504852843
2022-03-14,49.0,44.0,54.0,-47.76172384401177,-0.06839191648708101,0.00016696584668292672
2022-03-15,49.0,44.0,54.0,-47.76664795780758,-0.06800690271909783,0.0009737096356231354
2022-03-16,49.0,44.0,54.0,-47.771572071603394,-0.080773757586958,0.0016296777237046148
2022-03-17,49.0,44.0,54.0,-47.7764961853992,-0.07486008999997923,0.0021195048096794115
2022-03-18,49.0,44.0,54.0,-47.78142029919502,-0.07943809716393467,0.0024326271479345567
2022-03-19,52.0,47.0,57.0,-47.78634441299083,0.19408825875592106,0.00256362152546245
2022-03-20,53.0,48.0,58.0,-47.791268526786645,0.17738250520185178,0.002512394788557192
2022-03-21,49.0,44.0,53.0,-47.796192640582454,-0.0683919164872675,0.002284216852763865
2022-03-22,49.0,44.0,53.0,-47.80111675437828,-0.06800690271886002,0.0018895947678674004
2022-03-23,49.0,45.0,54.0,-47.80604086817409,-0.08077375758697569,0.0013439901519638224
2022-03-24,67.0,62.0,71.0,-47.8109649819699,-0.07486008999996902,0.0006673870141961037
2022-03-25,89.0,85.0,94.0,-47.81588909576572,-0.07943809716454309,-0.00011627848673483347
2022-03-26,70.0,66.0,75.0,-47.82081320956153,0.19408825875527974,-0.000979810587363691
2022-03-27,53.0,49.0,58.0,-47.825737323357345,0.1773825052017788,-0.001893549234352158
2022-03-28,49.0,44.0,54.0,-47.830661437153154,-0.06839191648745395,-0.0028262454198544062
2022-03-29,49.0,44.0,53.0,-47.83558555094897,-0.06800690271893334,-0.0037459912267343337
2022-03-30,50.0,45.0,54.0,-47.84050966474478,-0.08077375758695313,-0.004621177446751188
2022-03-31,49.0,45.0,54.0,-47.845433778540595,-0.0748600899999588,-0.005421450602078355
2022-04-01,50.0,45.0,54.0,-47.850357892336405,-0.07943809716435866,-0.006118640996380837
2022-04-02,52.0,48.0,57.0,-47.85528200613222,0.1940882587551063,-0.006687634057261804
2022-04-03,53.0,49.0,58.0,-47.86020611992803,0.17738250520170584,-0.0071071586925363864
2022-04-04,49.0,45.0,54.0,-47.865130233723846,-0.06839191648740575,-0.007360468630955251
2022-04-05,49.0,45.0,54.0,-47.87005434751966,-0.06800690271910904,-0.007435895691058849
2022-04-06,50.0,45.0,55.0,-47.87497846131548,-0.0807737575869252,-0.0073272575364186
2022-04-07,50.0,45.0,54.0,-47.87990257511129,-0.07486009000002189,-0.007034106628694371
2022-04-08,50.0,45.0,54.0,-47.884826688907104,-0.07943809716417423,-0.0065618116621732085
2022-04-09,52.0,48.0,57.0,-47.88975080270291,0.1940882587554269,-0.005921467622672807
2022-04-10,53.0,49.0,58.0,-47.89467491649874,0.17738250520236992,-0.005129635618308793
2022-04-11,49.0,45.0,54.0,-47.899599032847505,-0.06839191648735754,-0.0042079186334854765
2022-04-12,49.0,44.0,54.0,-47.90452314919627,-0.06800690271902676,-0.0031823842134080355
2022-04-13,58.0,53.0,62.0,-47.90944726554504,-0.08077375758698853,-0.00208284965128151
2022-04-14,92.0,87.0,97.0,-47.91437138189381,-0.074860090000085,-0.0009420493884136113
2022-04-15,57.0,53.0,62.0,-47.91929549824258,-0.07943809716416757,0.0002052920747327735
2022-04-16,52.0,47.0,57.0,-47.92421961459135,0.19408825875550048,0.0013234555289149135
2022-04-17,53.0,48.0,58.0,-47.92914373094012,0.1773825052020296,0.002376762258464016
2022-04-18,49.0,44.0,54.0,-47.93406784728889,-0.06839191648754402,0.003330619319484837
2022-04-19,49.0,44.0,54.0,-47.938991963637655,-0.06800690271894452,0.0041525446108752724
2022-04-20,49.0,45.0,54.0,-47.94391607998643,-0.0807737575869606,0.004813141826903
2022-04-21,49.0,45.0,54.0,-47.9488401963352,-0.07486008999989249,0.0052869966245613085
2022-04-22,49.0,45.0,54.0,-47.953764312683965,-0.07943809716459821,0.005553467424206354
2022-04-23,52.0,47.0,57.0,-47.95868842903273,0.19408825875582109,0.005597347131297594
2022-04-24,53.0,48.0,57.0,-47.96361254538151,0.17738250520222398,0.00540937564147744
2022-04-25,49.0,44.0,53.0,-47.968536661730276,-0.06839191648773048,0.004986587169499596
2022-04-26,49.0,44.0,54.0,-47.973460778079044,-0.06800690271912024,0.004332481106868715
2022-04-27,49.0,45.0,54.0,-47.97838489442781,-0.0807737575869783,0.003457010129883413
2022-04-28,49.0,45.0,54.0,-47.98330901077658,-0.07486008999988226,0.0023763845054711463
2022-04-29,49.0,45.0,54.0,-47.98823312712535,-0.07943809716459158,0.001112696826145865
2022-04-30,52.0,48.0,57.0,-47.993157243474116,0.19408825875589467,-0.00030662340531563675
2022-05-01,53.0,48.0,58.0,-47.99808135982288,0.17738250520188364,-0.0018495109766675658
2022-05-02,49.0,44.0,54.0,-48.00300547617165,-0.0683919164871842,-0.0034801030330154363
2022-05-03,49.0,45.0,54.0,-48.00792959252042,-0.068006902719038,-0.005159691058131656
2022-05-04,50.0,45.0,55.0,-48.012853708869194,-0.08077375758695038,-0.006847760428089593
2022-05-05,50.0,45.0,54.0,-48.01777782521796,-0.0748600900000187,-0.008503088546335693
2022-05-06,50.0,45.0,55.0,-48.02270194156673,-0.07943809716422937,-0.01008487074183351
2022-05-07,53.0,48.0,58.0,-48.0276260579155,0.19408825875525332,-0.011553842161942454
2022-05-08,54.0,49.0,58.0,-48.032550174264266,0.1773825052018107,-0.01287336384910457
2022-05-09,50.0,45.0,54.0,-48.03747429061304,-0.06839191648737067,-0.014010442060846019
2022-05-10,50.0,45.0,55.0,-48.04239840696181,-0.06800690271911128,-0.014936651653444858
2022-05-11,50.0,46.0,55.0,-48.04732252331058,-0.08077375758696809,-0.015628936953424714
2022-05-12,50.0,46.0,55.0,-48.052246639659344,-0.07486009000000848,-0.016070266916296476
2022-05-13,50.0,46.0,55.0,-48.05717075600811,-0.0794380971642227,-0.01625012542314199
2022-05-14,53.0,49.0,58.0,-48.06209487059553,0.1940882587553269,-0.01616482217962819
2022-05-15,54.0,49.0,59.0,-48.06701898518294,0.1773825052014704,-0.01581761472676633
2022-05-16,50.0,45.0,54.0,-48.07194309977035,-0.06839191648755713,-0.015218637405850968
2022-05-17,50.0,45.0,54.0,-48.07686721435777,-0.0680069027188735,-0.014384638588056987
2022-05-18,50.0,46.0,55.0,-48.08179132894518,-0.08077375758694548,-0.01333853292678663
2022-05-19,50.0,45.0,55.0,-48.0867154435326,-0.0748600900000716,-0.012108780660721283
2022-05-20,50.0,45.0,55.0,-48.09163955812001,-0.07943809716421607,-0.010728610936924706
2022-05-21,53.0,48.0,57.0,-48.09656367270742,0.19408825875564753,-0.009235110593291846
2022-05-22,54.0,49.0,58.0,-48.101487787294836,0.1773825052013974,-0.0076682037096513465
2022-05-23,49.0,45.0,54.0,-48.106411901882254,-0.06839191648677619,-0.006069550393675032
2022-05-24,49.0,45.0,54.0,-48.111336016469664,-0.06800690271894681,-0.00448139562133004
2022-05-25,50.0,45.0,55.0,-48.116260131057075,-0.0807737575869632,-0.0029454004309418143
2022-05-26,50.0,45.0,54.0,-48.12118424564449,-0.07486008999987906,-0.0015014883328835424
2022-05-27,50.0,45.0,54.0,-48.1261083602319,-0.07943809716403163,-0.00018673942474002007
2022-05-28,52.0,48.0,57.0,-48.13103247481932,0.19408825875547406,0.0009656365959024252
2022-05-29,53.0,48.0,58.0,-48.13595658940673,0.1773825052020615,0.0019272195165424121
2022-05-30,49.0,44.0,54.0,-48.14088070399414,-0.06839191648719732,0.0026751638044542414
2022-05-31,49.0,44.0,54.0,-48.14580481858156,-0.06800690271902013,0.0031928276821357043
2022-06-01,50.0,45.0,54.0,-48.15072893316897,-0.08077375758693528,0.003470228251291135
2022-06-02,49.0,45.0,54.0,-48.15565304775638,-0.07486008999994218,0.0035043097412141965
2022-06-03,50.0,45.0,54.0,-48.1605771623438,-0.07943809716481783,0.003299017237891972
2022-06-04,52.0,47.0,57.0,-48.16550127693121,0.1940882587557947,0.002865173752089301
2022-06-05,53.0,49.0,58.0,-48.17042539151863,0.17738250520225582,0.0022201640512630356
2022-06-06,49.0,45.0,54.0,-48.17534950610604,-0.06839191648714914,0.0013874341524133596
2022-06-07,49.0,45.0,54.0,-48.18027362069345,-0.06800690271893785,0.00039582059469883343
2022-06-08,50.0,45.0,55.0,-48.185197735280866,-0.08077375758699862,-0.000721271567523865
2022-06-09,50.0,45.0,54.0,-48.190121849868284,-0.07486009000000529,-0.0019268188262006247
2022-06-10,50.0,45.0,55.0,-48.19504596445569,-0.07943809716445561,-0.0031812304860983397
2022-06-11,53.0,48.0,57.0,-48.199970079043105,0.19408825875611524,-0.004443471425944435
2022-06-12,54.0,49.0,58.0,-48.20489419363052,0.17738250520191556,-0.005672224627709574
2022-06-13,50.0,45.0,54.0,-48.20981830821793,-0.0683919164873356,-0.0068270606342723476
2022-06-14,50.0,45.0,54.0,-48.214742422805344,-0.06800690271926912,-0.007869580916050636
