ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly
2022-01-01,60.0,55.0,64.0,-55.38359385,0.08988299421414354,0.03454966856000415
2022-01-02,48.0,43.0,53.0,-55.39535333498551,0.09196769524220344,0.03305250136015373
2022-01-03,45.0,40.0,50.0,-55.40711281997102,-0.0366025646008787,0.03140097758471983
2022-01-04,45.0,40.0,49.0,-55.418872304956516,-0.028388375539124384,0.029611044348266023
2022-01-05,45.0,41.0,50.0,-55.430631789942026,-0.04280991140832227,0.027701723470253202
2022-01-06,45.0,41.0,50.0,-55.44239127492754,-0.03895647599996173,0.02569476170993906
2022-01-07,45.0,40.0,50.0,-55.45415075991305,-0.03509336190781297,0.023614205434124094
2022-01-08,49.0,44.0,53.0,-55.465910244898545,0.08988299421397006,0.02148590859058077
2022-01-09,49.0,44.0,53.0,-55.477669729884056,0.09196769524216941,0.0193369847577129
2022-01-10,46.0,41.0,50.0,-55.48942921486957,-0.03660256460086593,0.017195215705717887
2022-01-11,45.0,41.0,50.0,-55.50118869985508,-0.028388375539139192,0.01508843028762763
2022-01-12,46.0,42.0,51.0,-55.512948184840575,-0.042809911408307345,0.013043868538151565
2022-01-13,56.0,51.0,61.0,-55.524707669826086,-0.03895647599999992,0.011087546558919019
2022-01-14,68.0,63.0,72.0,-55.5364671548116,-0.03509336190798585,0.009243638084980715
2022-01-15,59.0,55.0,64.0,-55.5482266397971,0.08988299421400067,0.007533888542735509
2022-01-16,50.0,45.0,54.0,-55.559986124782604,0.0919676952420026,0.005977076917295373
2022-01-17,46.0,41.0,51.0,-55.571745609768115,-0.03660256460095243,0.00458853985204384
2022-01-18,46.0,42.0,51.0,-55.58350509475362,-0.028388375539154,0.0033797711199971357
2022-01-19,47.0,42.0,51.0,-55.59526457973913,-0.04280991140829745,0.0023581079604680843
2022-01-20,47.0,42.0,51.0,-55.607024064724634,-0.03895647600003811,0.0015265138014123759
2022-01-21,47.0,42.0,51.0,-55.618783549710145,-0.03509336190800724,0.0008834646320013233
2022-01-22,50.0,45.0,54.0,-55.63054303469565,0.0898829942141713,0.0004229438046883041
2022-01-23,50.0,45.0,55.0,-55.64230251968116,0.09196769524210137,0.00013454739117331298
2022-01-24,47.0,42.0,52.0,-55.65406200466666,-0.036602564600786244,3.6994577174700657e-06
2022-01-25,50.0,46.0,55.0,-55.66582148965217,-0.028388375539076603,1.1973831793722634e-05
2022-01-26,56.0,51.0,60.0,-55.67758097463768,-0.042809911408298734,0.00013751617558365337
2022-01-27,51.0,46.0,55.0,-55.68934045962319,-0.03895647600000099,0.0003555575342679266
2022-01-28,47.0,42.0,52.0,-55.701099944608686,-0.03509336190790914,0.0006390080587399868
2022-01-29,50.0,46.0,55.0,-55.7128594295942,0.0898829942143419,0.0009591173800926277
2022-01-30,50.0,45.0,54.0,-55.72461891457971,0.09196769524228843,0.00128618619842716
2022-01-31,47.0,42.0,52.0,-55.73637839956522,-0.03660256460087276,0.001590312095885854
2022-02-01,33.0,28.0,38.0,-55.748137884550715,-0.02838837553909142,0.0018421514390037134
2022-02-02,34.0,30.0,39.0,-55.759897369536226,-0.04280991140831622,0.002013678534775808
2022-02-03,34.0,29.0,38.0,-55.77165685452174,-0.03895647600011448,0.0020789229731917277
2022-02-04,33.0,29.0,38.0,-55.78341632938729,-0.03509336190820152,0.0020146663393768856
2022-02-05,37.0,32.0,42.0,-55.795175804252835,0.08988299421423251,0.0018010802123796304
2022-02-06,37.0,32.0,41.0,-55.80693527911839,0.0919676952422544,0.001422288572357629
2022-02-07,34.0,29.0,38.0,-55.818694753983934,-0.03660256460085998,0.0008668393904493997
2022-02-08,33.0,29.0,38.0,-55.83045422884949,-0.028388375539060113,0.00012807223895670503
2022-02-09,34.0,30.0,39.0,-55.84221370371503,-0.04280991140833372,-0.0007956288130050232
2022-02-10,34.0,30.0,39.0,-55.85397317858058,-0.03895647599996146,-0.0019007050193069032
2022-02-11,34.0,29.0,38.0,-55.86573265344613,-0.035093361908103415,-0.003178420518326043
2022-02-12,37.0,33.0,42.0,-55.87749212831168,0.08988299421440313,-0.004614989520382173
2022-02-13,51.0,46.0,56.0,-55.889251603177236,0.09196769524208759,-0.0061918317743530045
2022-02-14,64.0,60.0,69.0,-55.90101107804278,-0.0366025646009465,-0.007885951728157512
2022-02-15,47.0,43.0,52.0,-55.912770552908334,-0.028388375539143376,-0.009670433635053164
2022-02-16,35.0,30.0,39.0,-55.924530027773876,-0.04280991140831879,-0.011515041851818106
2022-02-17,35.0,30.0,39.0,-55.93628950263943,-0.03895647600007496,-0.01338691280566192
2022-02-18,35.0,30.0,40.0,-55.948048977504975,-0.03509336190812481,-0.015251322646656051
2022-02-19,38.0,34.0,42.0,-55.95980845237053,0.08988299421443373,-0.01707251251836848
2022-02-20,38.0,34.0,43.0,-55.97156792723607,0.09196769524192076,-0.018814551728894215
2022-02-21,35.0,30.0,40.0,-55.98332740210162,-0.036602564600933724,-0.02044221793330508
2022-02-22,35.0,30.0,39.0,-55.99508687696718,-0.02838837553911208,-0.021921872782657403
2022-02-23,35.0,31.0,40.0,-56.00684635183272,-0.04280991140833629,-0.023222311375052398
2022-02-24,35.0,30.0,40.0,-56.01860582669828,-0.038956476000037835,-0.02431556426965605
2022-02-25,35.0,31.0,40.0,-56.03036530156382,-0.0350933619080267,-0.025177631788903233
2022-02-26,39.0,34.0,43.0,-56.042124776429375,0.08988299421412023,-0.02578913181787206
2022-02-27,39.0,34.0,43.0,-56.05388425129492,0.09196769524250618,-0.026135844279806968
2022-02-28,35.0,31.0,40.0,-56.065643726160474,-0.03660256460111952,-0.026209137876907457
2022-03-01,35.0,30.0,40.0,-56.077403201026016,-0.028388375539126882,-0.026006267477749225
2022-03-02,36.0,31.0,40.0,-56.08916267589157,-0.042809911408337564,-0.025530533639824868
2022-03-03,35.0,31.0,40.0,-56.100922150757114,-0.038956475999960126,-0.02479129910008709
2022-03-04,35.0,30.0,40.0,-56.11268162562267,-0.03509336190804809,-0.023803860565600084
2022-03-05,38.0,34.0,43.0,-56.12444110048822,0.08988299421415084,-0.022589177702063253
2022-03-06,38.0,34.0,43.0,-56.13620057535377,0.09196769524247216,-0.0211734647603052
2022-03-07,47.0,42.0,51.0,-56.14796005021932,-0.03660256460110675,-0.019587653709426
2022-03-08,60.0,56.0,65.0,-56.159719525084874,-0.02838837553909559,-0.01786674097286363
2022-03-09,47.0,43.0,51.0,-56.171479000026864,-0.04280991140831146,-0.016049032806579776
2022-03-10,35.0,30.0,40.0,-56.183238474968846,-0.03895647599999831,-0.014175306941169643
2022-03-11,34.0,30.0,39.0,-56.194997949910835,-0.035093361907830495,-0.01228791026444375
2022-03-12,38.0,33.0,42.0,-56.206757424852825,0.08988299421432146,-0.01042981399104794
2022-03-13,38.0,33.0,42.0,-56.21851689979481,0.09196769524230534,-0.008643648906766988
2022-03-14,34.0,30.0,39.0,-56.230276374736796,-0.03660256460084127,-0.0069707438561270735
2022-03-15,34.0,29.0,38.0,-56.242035849678786,-0.028388375539110403,-0.005450190645611334
2022-03-16,35.0,30.0,39.0,-56.25379532462077,-0.04280991140831274,-0.004117957959534006
2022-03-17,34.0,30.0,39.0,-56.26555479956276,-0.0389564760000365,-0.0030060757438416814
2022-03-18,34.0,29.0,39.0,-56.27731427450475,-0.03509336190785189,-0.0021419098321577984
2022-03-19,37.0,33.0,42.0,-56.289073749446736,0.08988299421435209,-0.001547544409669874
2022-03-20,37.0,33.0,42.0,-56.30083322438872,0.09196769524213853,-0.0012392872876473282
2022-03-21,34.0,29.0,39.0,-56.31259269933071,-0.036602564600927784,-0.0012273099607980637
2022-03-22,34.0,29.0,38.0,-56.3243521742727,-0.028388375539033006,-0.001515431115918153
2022-03-23,34.0,30.0,39.0,-56.33611164921468,-0.042809911408314014,-0.0021010487374780278
2022-03-24,52.0,47.0,56.0,-56.34787112415667,-0.03895647599999938,-0.002975222302492278
2022-03-25,73.0,69.0,78.0,-56.35963059909866,-0.03509336190814427,-0.004122902866085518
2022-03-26,55.0,51.0,60.0,-56.37139007404064,0.08988299421403857,-0.005523305204194408
2022-03-27,38.0,33.0,42.0,-56.38314954898263,0.0919676952421045,-0.007150412692734259
2022-03-28,35.0,30.0,39.0,-56.39490902392462,-0.0366025646010143,-0.008973602352258631
2022-03-29,34.0,30.0,39.0,-56.40666849886661,-0.02838837553904782,-0.010958374555672877
2022-03-30,35.0,31.0,40.0,-56.41842797380859,-0.04280991140828792,-0.013067169358273154
2022-03-31,35.0,31.0,39.0,-56.43018744875058,-0.038956475999962256,-0.01526024932801866
2022-04-01,35.0,30.0,40.0,-56.44194692369257,-0.03509336190804617,-0.017496627182310206
2022-04-02,39.0,34.0,43.0,-56.45370639863455,0.08988299421392917,-0.019735015514081272
2022-04-03,39.0,34.0,43.0,-56.46546587357654,0.09196769524207049,-0.021934775439959243
2022-04-04,35.0,31.0,40.0,-56.47722534851853,-0.036602564601001523,-0.02405684113666085
2022-04-05,35.0,31.0,40.0,-56.48898482346051,-0.02838837553913107,-0.026064597943977096
2022-04-06,36.0,31.0,40.0,-56.5007442984025,-0.04280991140830541,-0.027924692983111815
2022-04-07,36.0,31.0,40.0,-56.51250377334449,-0.03895647600000045,-0.029607759034708955
2022-04-08,36.0,31.0,40.0,-56.52426324828647,-0.03509336190794807,-0.03108903469294459
2022-04-09,39.0,35.0,44.0,-56.53602272322846,0.08988299421409979,-0.03234886650164176
2022-04-10,39.0,34.0,44.0,-56.54778219817045,0.09196769524239033,-0.03337308181451671
2022-04-11,36.0,31.0,41.0,-56.55954167803745,-0.03660256460098875,-0.034153224425750625
2022-04-12,36.0,31.0,40.0,-56.571301157904436,-0.028388375539099765,-0.03468664850318108
2022-04-13,44.0,40.0,49.0,-56.58306063777143,-0.042809911408290484,-0.03497646993441104
2022-04-14,54.0,49.0,58.0,-56.59482011763842,-0.03895647600003864,-0.03503137777407212
2022-04-15,44.0,39.0,48.0,-56.606579597505416,-0.03509336190796945,-0.03486531196647663
