ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly
2022-01-01,66.0,61.0,71.0,-88.42600712,0.11162441824365943,0.0004198122180013291
2022-01-02,52.0,47.0,57.0,-88.43930356055846,0.11270725562023237,1.0497356325453455e-05
2022-01-03,48.0,43.0,53.0,-88.4526000011169,-0.04586252983076271,-0.00039762494180335206
2022-01-04,48.0,43.0,53.0,-88.46589644167535,-0.04218349641824232,-0.0007944398504034071
2022-01-05,48.0,43.0,53.0,-88.47919288223382,-0.044296831927677485,-0.0011699485319391874
2022-01-06,48.0,43.0,53.0,-88.49248932279227,-0.04608153499995059,-0.00151459763335455
2022-01-07,48.0,43.0,53.0,-88.50578576335073,-0.04590728068692054,-0.0018196015852194555
2022-01-08,53.0,48.0,57.0,-88.51908220390918,0.11162441824340638,-0.0020772473566642823
2022-01-09,53.0,48.0,57.0,-88.53237864446763,0.11270725562018377,-0.002281171701056562
2022-01-10,48.0,43.0,53.0,-88.54567508502609,-0.045862529830758114,-0.002426601622998519
2022-01-11,48.0,43.0,53.0,-88.55897152558454,-0.04218349641825732,-0.0025105497885360268
2022-01-12,48.0,44.0,54.0,-88.572267966143,-0.04429683192767235,-0.002531957860283371
2022-01-13,60.0,55.0,65.0,-88.58556440670145,-0.04608153499999804,-0.0024917822323485403
2022-01-14,73.0,68.0,78.0,-88.5988608472599,-0.045907280687157076,-0.002393018323451104
2022-01-15,64.0,59.0,69.0,-88.61215728781836,0.11162441824345425,-0.0022406614116763698
2022-01-16,53.0,47.0,57.0,-88.62545372837681,0.11270725561999066,-0.0020416039070996405
2022-01-17,48.0,43.0,53.0,-88.63875016893526,-0.04586252983086689,-0.0018044709021920384
2022-01-18,48.0,43.0,53.0,-88.65204660949371,-0.04218349641827231,-0.001539397756120193
2022-01-19,48.0,43.0,53.0,-88.66534305005217,-0.04429683192766868,-0.0012577552996419364
2022-01-20,48.0,43.0,53.0,-88.67863949061064,-0.04608153500004549,-0.0009718299361501418
2022-01-21,48.0,44.0,53.0,-88.69193593116907,-0.04590728068716479,-0.000694467409061021
2022-01-22,53.0,47.0,57.0,-88.70523237172753,0.11162441824364912,-0.00043869025908344376
2022-01-23,52.0,47.0,57.0,-88.71852881228598,0.11270725562008654,-0.000217299966393462
2022-01-24,48.0,43.0,53.0,-88.73182525284444,-0.04586252983063206,-4.247542997384921e-05
2022-01-25,52.0,47.0,58.0,-88.74512169340291,-0.04218349641816772,7.46202439977613e-05
2022-01-26,58.0,53.0,63.0,-88.75841813396134,-0.04429683192766917,0.00012421270468697225
2022-01-27,53.0,48.0,58.0,-88.7717145745198,-0.046081535000023016,9.825751644853284e-05
2022-01-28,48.0,43.0,53.0,-88.78501101507825,-0.04590728068705212,-9.2613033749263e-06
2022-01-29,53.0,47.0,57.0,-88.79830745563672,0.11162441824384398,-0.0002020851237877659
