ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly
2022-01-01,97.0,90.0,105.0,-97.13084524,0.13560283663696066,0.03897975867299894
2022-01-02,79.0,72.0,86.0,-97.14386551130822,0.13665762762604963,0.03936293862435632
2022-01-03,73.0,66.0,80.0,-97.15688578261643,-0.052411175444129834,0.03986986272686116
2022-01-04,73.0,66.0,81.0,-97.16990605392465,-0.05461537931157857,0.04049335596608772
2022-01-05,74.0,67.0,81.0,-97.18292632523286,-0.05750219953750346,0.04122252374550381
2022-01-06,74.0,67.0,81.0,-97.19594659654108,-0.05705523599994705,0.042042820130507697
2022-01-07,73.0,66.0,80.0,-97.20896686784928,-0.05067647396942325,0.042936214629441416
2022-01-08,79.0,72.0,86.0,-97.22198713915749,0.13560283663665687,0.04388145636148158
2022-01-09,79.0,71.0,86.0,-97.23500741046571,0.1366576276259901,0.044854431684001855
2022-01-10,73.0,66.0,80.0,-97.24802768177392,-0.052411175444131805,0.04582860863313419
2022-01-11,73.0,66.0,80.0,-97.26104795308214,-0.054615379311597365,0.04677555895084785
2022-01-12,73.0,65.0,80.0,-97.27406822439035,-0.05750219953749568,0.047665546106409204
2022-01-13,88.0,81.0,95.0,-97.28708849569855,-0.05705523599999825,0.04846816564112911
2022-01-14,106.0,99.0,113.0,-97.30010876700678,-0.05067647396971794,0.04915302243621685
2022-01-15,93.0,86.0,100.0,-97.31312903831498,0.13560283663671485,0.049690428178746235
2022-01-16,78.0,71.0,85.0,-97.3261493096232,0.13665762762576641,0.05005210142326163
2022-01-17,72.0,65.0,79.0,-97.33916958093141,-0.052411175444262194,0.05021185224712222
2022-01-18,73.0,66.0,80.0,-97.3521898522396,-0.054615379311616155,0.0501462335932295
2022-01-19,73.0,65.0,80.0,-97.36521012354783,-0.057502199537496704,0.04983514198771148
2022-01-20,73.0,66.0,80.0,-97.37823039485603,-0.057055236000049456,0.049262351400928106
2022-01-21,72.0,65.0,79.0,-97.39125066616425,-0.05067647396972123,0.04841596556298828
2022-01-22,79.0,71.0,85.0,-97.40427093747246,0.1356028366369401,0.04728877601062181
2022-01-23,79.0,72.0,86.0,-97.41729120878068,0.13665762762587094,0.04587851548032879
2022-01-24,73.0,66.0,80.0,-97.43031148008889,-0.05241117544396388,0.044187998910391865
2022-01-25,79.0,73.0,86.0,-97.4433317513971,-0.05461537931150037,0.04222514720086514
2022-01-26,87.0,80.0,95.0,-97.45635202270532,-0.05750219953749608,0.04000289192678052
2022-01-27,80.0,73.0,88.0,-97.46937229401352,-0.05705523600002047,0.03753896232193187
2022-01-28,74.0,67.0,81.0,-97.48239256532175,-0.05067647396958718,0.034855558962093365
2022-01-29,80.0,73.0,88.0,-97.49541283662995,0.13560283663716535,0.03197892159037753
2022-01-30,80.0,73.0,88.0,-97.50843310793817,0.13665762762618106,0.028938801359442417
2022-01-31,75.0,68.0,82.0,-97.52145337924638,-0.052411175444094266,0.025767850334409287
2022-02-01,58.0,51.0,66.0,-97.53447365055459,-0.054615379311519156,0.02250094333508708
2022-02-02,59.0,52.0,66.0,-97.54749392186281,-0.0575021995375026,0.019174449030930324
2022-02-03,59.0,52.0,66.0,-97.56051419317102,-0.05705523600015186,0.015825468585050618
2022-02-04,59.0,52.0,66.0,-97.57354313232683,-0.050676473970019204,0.012491061033685281
2022-02-05,65.0,58.0,72.0,-97.58657207148264,0.13560283663705605,0.009207474958010012
2022-02-06,66.0,58.0,73.0,-97.59960101063844,0.1366576276261215,0.006009405844008227
2022-02-07,60.0,53.0,66.0,-97.61262994979425,-0.05241117544409624,0.0029292978355769618
2022-02-08,61.0,53.0,68.0,-97.62565888895004,-0.054615379311470674,-3.2926157144544735e-06
2022-02-09,61.0,54.0,68.0,-97.63868782810586,-0.05750219953750914,-0.0027622553815914042
2022-02-10,61.0,54.0,68.0,-97.65171676726166,-0.05705523599994142,-0.0053253938613173485
2022-02-11,61.0,54.0,69.0,-97.66474570641748,-0.05067647396988515,-0.007674789541432591
2022-02-12,67.0,60.0,74.0,-97.67777464557328,0.13560283663728132,-0.009797055489988082
2022-02-13,88.0,82.0,95.0,-97.6908035847291,0.13665762762589784,-0.011683473389996531
2022-02-14,109.0,101.0,116.0,-97.7038325238849,-0.05241117544422663,-0.013330011886854086
2022-02-15,83.0,76.0,90.0,-97.71686146304071,-0.054615379311604886,-0.014737227250914985
2022-02-16,62.0,55.0,70.0,-97.7298904021965,-0.057502199537501346,-0.015910050548327354
2022-02-17,62.0,56.0,70.0,-97.74291934135232,-0.0570552360000728,-0.01685746858188509
2022-02-18,62.0,55.0,69.0,-97.75594828050812,-0.05067647396988844,-0.017592108722310134
2022-02-19,68.0,61.0,76.0,-97.76897721966392,0.1356028366373393,-0.018129740319221183
2022-02-20,68.0,60.0,75.0,-97.78200615881974,0.13665762762567418,-0.018488707587997286
2022-02-21,62.0,55.0,69.0,-97.79503509797554,-0.05241117544422861,-0.018689310651651726
2022-02-22,62.0,56.0,70.0,-97.80806403713136,-0.054615379311556404,-0.0187531527261075
2022-02-23,63.0,56.0,70.0,-97.82109297628715,-0.057502199537507875,-0.018702472236122886
2022-02-24,63.0,56.0,70.0,-97.83412191544296,-0.05705523600004382,-0.018559478915820937
2022-02-25,62.0,55.0,69.0,-97.84715085459877,-0.05067647396975439,-0.01834571267523752
2022-02-26,68.0,61.0,75.0,-97.86017979375458,0.13560283663686823,-0.018081443210933322
2022-02-27,68.0,62.0,75.0,-97.87320873291038,0.13665762762647657,-0.017785127028256766
2022-02-28,62.0,55.0,69.0,-97.8862376720662,-0.05241117544448741,-0.017472936762973863
2022-03-01,62.0,55.0,69.0,-97.899266611222,-0.05461537931157519,-0.01715837549227904
2022-03-02,63.0,56.0,69.0,-97.91229555037779,-0.05750219953750724,-0.016851986172761138
2022-03-03,63.0,55.0,69.0,-97.92532448953361,-0.057055235999913564,-0.016561163509106677
2022-03-04,62.0,55.0,69.0,-97.93835342868941,-0.05067647396975768,-0.01629007252355736
2022-03-05,68.0,61.0,76.0,-97.95138236784523,0.13560283663692624,-0.016039674949483447
2022-03-06,68.0,61.0,75.0,-97.96441130700103,0.13665762762641698,-0.015807861402982105
2022-03-07,80.0,73.0,87.0,-97.97744024615685,-0.05241117544448939,-0.015589684185316158
2022-03-08,103.0,96.0,110.0,-97.99046918531266,-0.054615379311526706,-0.015377682624880266
2022-03-09,81.0,74.0,88.0,-98.00350551112419,-0.0575021995375011,-0.015162290164795172
2022-03-10,62.0,56.0,70.0,-98.01654183693574,-0.05705523599996476,-0.01493231001857149
2022-03-11,62.0,55.0,69.0,-98.0295781627473,-0.05067647396948631,-0.014675444219729075
2022-03-12,68.0,61.0,75.0,-98.04261448855885,0.13560283663715147,-0.014378859339137413
2022-03-13,68.0,60.0,75.0,-98.0556508143704,0.13665762762619335,-0.01402977108043251
2022-03-14,62.0,54.0,69.0,-98.06868714018195,-0.05241117544406265,-0.013616029419559634
2022-03-15,62.0,55.0,69.0,-98.0817234659935,-0.05461537931154549,-0.013126685944905998
2022-03-16,62.0,56.0,70.0,-98.09475979180506,-0.05750219953750047,-0.01255252557946723
2022-03-17,62.0,55.0,69.0,-98.10779611761659,-0.05705523600001596,-0.011886545911270387
2022-03-18,62.0,55.0,69.0,-98.12083244342814,-0.050676473969489585,-0.01112436889227401
2022-03-19,68.0,60.0,74.0,-98.1338687692397,0.13560283663720946,-0.010264571645399614
2022-03-20,67.0,60.0,74.0,-98.14690509505124,0.13665762762596967,-0.009308925486990362
2022-03-21,61.0,55.0,68.0,-98.1599414208628,-0.05241117544419305,-0.008262534960124909
2022-03-22,62.0,55.0,69.0,-98.17297774667435,-0.05461537931142971,-0.007133871605100419
2022-03-23,62.0,55.0,69.0,-98.1860140724859,-0.05750219953749983,-0.00593470028326918
2022-03-24,89.0,82.0,96.0,-98.19905039829744,-0.05705523599998698,-0.004679899030002472
2022-03-25,121.0,114.0,129.0,-98.212086724109,-0.05067647396992161,-0.0033871765516526324
2022-03-26,94.0,87.0,101.0,-98.22512304992054,0.1356028366367384,-0.0020766945088935853
2022-03-27,67.0,60.0,74.0,-98.2381593757321,0.13665762762591013,-0.000770604558570879
2022-03-28,61.0,54.0,67.0,-98.25119570154364,-0.05241117544432344,0.0005074873236838213
2022-03-29,61.0,53.0,68.0,-98.26423202735519,-0.0546153793114485,0.001733114520933244
2022-03-30,61.0,54.0,68.0,-98.27726835316675,-0.05750219953749372,0.0028815849524327034
2022-03-31,61.0,54.0,68.0,-98.2903046789783,-0.05705523599995799,0.003928639938035683
2022-04-01,60.0,54.0,67.0,-98.30334100478984,-0.05067647396978757,0.0048511181290378565
2022-04-02,66.0,59.0,73.0,-98.3163773306014,0.1356028366366291,0.005627605607243824
2022-04-03,66.0,59.0,73.0,-98.32941365641295,0.13665762762585057,0.006239053513841443
2022-04-04,60.0,53.0,67.0,-98.34244998222448,-0.052411175444325414,0.006669345360853421
2022-04-05,60.0,53.0,68.0,-98.35548630803603,-0.05461537931158271,0.006905797478159131
2022-04-06,61.0,54.0,67.0,-98.36852263384759,-0.05750219953750024,0.006939577821769254
2022-04-07,61.0,53.0,67.0,-98.38155895965915,-0.05705523600000919,0.0067660305647036295
2022-04-08,60.0,53.0,67.0,-98.39459528547069,-0.050676473969653524,0.006384896448099893
2022-04-09,66.0,59.0,74.0,-98.40763161128224,0.13560283663685435,0.0058004217152565155
2022-04-10,66.0,59.0,73.0,-98.4206679370938,0.13665762762632477,0.005021351504647451
2022-04-11,60.0,53.0,67.0,-98.43370712694775,-0.0524111754443274,0.00406080675361434
2022-04-12,61.0,54.0,68.0,-98.44674631680171,-0.05461537931153423,0.0029360468725431973
2022-04-13,73.0,66.0,81.0,-98.45978550665566,-0.05750219953749246,0.001668123599977794
2022-04-14,88.0,81.0,96.0,-98.47282469650962,-0.057055236000060405,0.00028143445305986274
2022-04-15,73.0,66.0,80.0,-98.48586388636359,-0.0506764739696568,-0.0011968130390128985
2022-04-16,67.0,60.0,75.0,-98.49890307621754,0.13560283663691233,-0.0027372126660786074
2022-04-17,67.0,60.0,75.0,-98.51194226607151,0.1366576276261011,-0.004308830693082197
2022-04-18,61.0,54.0,68.0,-98.52498145592547,-0.05241117544445779,-0.005879919449682718
2022-04-19,62.0,56.0,69.0,-98.53802064577943,-0.05461537931148574,-0.007418654791774098
2022-04-20,62.0,55.0,70.0,-98.55105983563338,-0.05750219953749898,-0.008893878215697074
2022-04-21,62.0,55.0,69.0,-98.56409902548734,-0.057055235999930135,-0.010275824279643537
2022-04-22,62.0,55.0,69.0,-98.5771382153413,-0.050676473969951494,-0.011536814392925764
2022-04-23,68.0,61.0,75.0,-98.59017740519526,0.1356028366371376,-0.012651898960668592
2022-04-24,68.0,61.0,75.0,-98.60321659504922,0.13665762762620565,-0.013599431291223523
2022-04-25,62.0,55.0,70.0,-98.61625578490319,-0.052411175444588176,-0.014361558545507982
2022-04-26,63.0,55.0,70.0,-98.62929497475714,-0.05461537931161996,-0.014924617277206887
2022-04-27,63.0,56.0,70.0,-98.6423341646111,-0.057502199537498355,-0.015279423716349315
2022-04-28,63.0,56.0,70.0,-98.65537335446507,-0.05705523599990115,-0.015421451811516409
2022-04-29,62.0,55.0,69.0,-98.66841254431901,-0.05067647396995479,-0.015350895087386896
2022-04-30,68.0,62.0,76.0,-98.68145173417297,0.13560283663719558,-0.01507261150860885
2022-05-01,68.0,62.0,76.0,-98.69449092402694,0.136657627625982,-0.014595953680359895
2022-05-02,62.0,55.0,69.0,-98.70753011388089,-0.05241117544416144,-0.01393448977267393
2022-05-03,62.0,56.0,70.0,-98.72056930373486,-0.054615379311571455,-0.01310562344504066
2022-05-04,63.0,56.0,70.0,-98.73360849358882,-0.05750219953750488,-0.012130123690008088
2022-05-05,63.0,55.0,70.0,-98.74664768344277,-0.05705523600003255,-0.01103157783756726
2022-05-06,62.0,55.0,69.0,-98.75968687329674,-0.05067647396968343,-0.009835782902860116
2022-05-07,68.0,60.0,75.0,-98.7727260631507,0.1356028366367245,-0.008570091966803431
2022-05-08,68.0,61.0,75.0,-98.78576525300464,0.13665762762592243,-0.007262733313409775
2022-05-09,62.0,54.0,69.0,-98.79880444285861,-0.05241117544429183,-0.005942120583420274
2022-05-10,62.0,55.0,69.0,-98.81184363271257,-0.05461537931159026,-0.004636172230249579
2022-05-11,62.0,54.0,69.0,-98.82488282256654,-0.05750219953750425,-0.003371658084679705
2022-05-12,62.0,55.0,69.0,-98.83792201242049,-0.05705523600000356,-0.002173589866497963
2022-05-13,61.0,54.0,69.0,-98.85096120227445,-0.0506764739696867,-0.0010646710563133616
2022-05-14,67.0,60.0,74.0,-98.86460653080164,0.1356028366367825,-6.481970289209764e-05
2022-05-15,67.0,60.0,74.0,-98.87825185932884,0.13665762762569877,0.0008092244537437872
2022-05-16,61.0,55.0,68.0,-98.89189718785605,-0.052411175444422226,0.0015441996501699188
2022-05-17,61.0,55.0,68.0,-98.90554251638324,-0.05461537931147446,0.00213052237092882
2022-05-18,61.0,54.0,69.0,-98.91918784491043,-0.05750219953749812,0.0025623848816346906
2022-05-19,61.0,54.0,69.0,-98.93283317343763,-0.057055236000054764,0.002837749585871186
2022-05-20,61.0,54.0,67.0,-98.94647850196483,-0.05067647396968999,0.0029582426465044375
2022-05-21,67.0,59.0,74.0,-98.96012383049202,0.13560283663700776,0.002928952083795735
2022-05-22,67.0,60.0,74.0,-98.97376915901921,0.13665762762563918,0.0027581381499543816
2022-05-23,61.0,54.0,68.0,-98.98741448754642,-0.0524111754438671,0.0024568661105414864
2022-05-24,61.0,54.0,68.0,-99.0010598160736,-0.05461537931149326,0.002038573573632383
2022-05-25,62.0,54.0,68.0,-99.0147051446008,-0.05750219953749749,0.0015185861438717727
2022-05-26,62.0,55.0,68.0,-99.02835047312801,-0.057055235999924514,0.0009135963977288697
2022-05-27,61.0,53.0,68.0,-99.0419958016552,-0.05067647396955594,0.0002411219482650925
2022-05-28,67.0,61.0,74.0,-99.0556411301824,0.13560283663689848,-0.00048104132472278705
2022-05-29,67.0,60.0,74.0,-99.06928645870958,0.1366576276261134,-0.0012353549635547903
2022-05-30,61.0,54.0,69.0,-99.08293178723679,-0.052411175444125886,-0.0020050472426870096
2022-05-31,62.0,55.0,69.0,-99.09657711576398,-0.05461537931151206,-0.0027745818542974946
2022-06-01,62.0,55.0,69.0,-99.11022244429117,-0.05750219953750402,-0.0035300731745518668
2022-06-02,62.0,55.0,69.0,-99.12386777281839,-0.05705523599997571,-0.00425963711808427
2022-06-03,62.0,55.0,69.0,-99.13751310134558,-0.05067647397012529,-0.004953668685274369
2022-06-04,68.0,61.0,75.0,-99.15115842987277,0.13560283663712372,-0.005605039634078355
2022-06-05,68.0,60.0,75.0,-99.16480375839996,0.13665762762621794,-0.0062092121943476755
2022-06-06,62.0,55.0,69.0,-99.17844908692716,-0.052411175444127864,-0.006764267312875213
2022-06-07,62.0,56.0,69.0,-99.19209441545436,-0.054615379311463576,-0.0072708484953506805
2022-06-08,63.0,55.0,70.0,-99.20573974398155,-0.057502199537496225,-0.007732024820907344
2022-06-09,63.0,56.0,70.0,-99.21938507250876,-0.057055236000026904,-0.008153079072644433
2022-06-10,62.0,55.0,69.0,-99.23303040103595,-0.05067647396985392,-0.00854122908506156
2022-06-11,68.0,61.0,75.0,-99.24667572956314,0.13560283663734898,-0.00890529229552499
2022-06-12,68.0,61.0,75.0,-99.26032105809033,0.1366576276259943,-0.009255305048240525
2022-06-13,62.0,55.0,69.0,-99.27396638661754,-0.052411175444258266,-0.009602109393770526
2022-06-14,63.0,56.0,69.0,-99.28761171514473,-0.05461537931166507,-0.009956920922869771
2022-06-15,63.0,56.0,70.0,-99.30125704367191,-0.057502199537502754,-0.01033089155149735
2022-06-16,84.0,77.0,92.0,-99.31496859717919,-0.057055236000078106,-0.010734681127317972
2022-06-17,110.0,103.0,117.0,-99.32868015068645,-0.05067647396985721,-0.011178051263073207
2022-06-18,90.0,83.0,97.0,-99.34239170419373,0.13560283663740694,-0.0116694939374544
2022-06-19,69.0,62.0,76.0,-99.35610325770101,0.13665762762646846,-0.012215906169555259
2022-06-20,63.0,56.0,70.0,-99.36981481120829,-0.05241117544438865,-0.012822320509709753
2022-06-21,63.0,56.0,70.0,-99.38352636471556,-0.054615379311549306,-0.013491699248362285
2022-06-22,63.0,56.0,71.0,-99.39723791822283,-0.05750219953748946,-0.014224798183340884
2022-06-23,63.0,56.0,71.0,-99.41094947173009,-0.05705523600004912,-0.015020103569673643
2022-06-24,63.0,55.0,70.0,-99.42466102523737,-0.050676473969723156,-0.015873843572649652
2022-06-25,69.0,62.0,76.0,-99.43837257874465,0.13560283663710315,-0.016780073225597457
2022-06-26,69.0,62.0,76.0,-99.45208413225193,0.1366576276262448,-0.017730829628511677
2022-06-27,63.0,56.0,70.0,-99.46579568575919,-0.05241117544451902,-0.01871635198089049
2022-06-28,64.0,57.0,71.0,-99.47950723926647,-0.05461537931156811,-0.01972535908567511
2022-06-29,64.0,57.0,71.0,-99.49321879277375,-0.057502199537495996,-0.020745375248870573
2022-06-30,64.0,57.0,71.0,-99.50693034628101,-0.057055235999918866,-0.021763094081096775
2022-07-01,55.0,48.0,62.0,-99.52064189978829,-0.05067647396958911,-0.022764768623631387
2022-07-02,61.0,54.0,69.0,-99.53435345329557,0.13560283663699388,-0.023736615502768454
2022-07-03,61.0,54.0,68.0,-99.54806500680283,0.1366576276263493,-0.02466522048100471
2022-07-04,55.0,49.0,62.0,-99.56177656031011,-0.05241117544452102,-0.02553793282913231
2022-07-05,56.0,48.0,63.0,-99.57548811381739,-0.05461537931151959,-0.026343236384649537
2022-07-06,56.0,49.0,63.0,-99.58919966732466,-0.05750219953750251,-0.02707108597257906
2022-07-07,56.0,49.0,63.0,-99.60291122083193,-0.05705523599988988,-0.0277131990168537
2022-07-08,55.0,48.0,62.0,-99.61662277433919,-0.05067647396945507,-0.0282632936264034
2022-07-09,62.0,55.0,68.0,-99.63033432784647,0.13560283663705183,-0.028717266152592243
2022-07-10,62.0,55.0,69.0,-99.64404588135375,0.1366576276261257,-0.029073303129723817
2022-07-11,56.0,49.0,63.0,-99.65775743486103,-0.052411175444094286,-0.02933192456722912
2022-07-12,56.0,49.0,63.0,-99.6714689883683,-0.0546153793114711,-0.029495957697268916
2022-07-13,56.0,49.0,64.0,-99.68518054187558,-0.05750219953749472,-0.029570442428107052
2022-07-14,56.0,49.0,63.0,-99.69889209538285,-0.05705523600002127,-0.029562471846090115
2022-07-15,56.0,49.0,63.0,-99.71260364889011,-0.05067647396945836,-0.02948097308291159
2022-07-16,62.0,55.0,69.0,-99.72631520239739,0.1356028366365808,-0.02933643566061171
2022-07-17,62.0,55.0,69.0,-99.74002675590467,0.13665762762590206,-0.029140595989652903
2022-07-18,56.0,49.0,62.0,-99.75373830941194,-0.052411175444096264,-0.028906087979244745
2022-07-19,56.0,49.0,63.0,-99.76745280043737,-0.05461537931160533,-0.02864607068536293
2022-07-20,56.0,49.0,63.0,-99.78116729146281,-0.05750219953750125,-0.028373844543626257
2022-07-21,56.0,49.0,63.0,-99.79488178248825,-0.05705523599999228,-0.028102467992956875
2022-07-22,55.0,48.0,63.0,-99.80859627351366,-0.05067647396989038,-0.027844386187221466
2022-07-23,62.0,55.0,69.0,-99.8223107645391,0.13560283663680603,-0.027611083020138125
2022-07-24,62.0,55.0,69.0,-99.83602525556454,0.13665762762600658,-0.027412766871216254
