ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly
2022-01-01,164.0,152.0,177.0,-124.15580427,0.1020948177649129,0.06603263847999903
2022-01-02,138.0,125.0,150.0,-124.19350265961256,0.0986249511993983,0.06707869771619761
2022-01-03,131.0,118.0,144.0,-124.23120104922513,-0.04990898434493423,0.06808478657317732
2022-01-04,129.0,116.0,142.0,-124.26889943883769,-0.03444877139221157,0.06900983464578188
2022-01-05,130.0,118.0,143.0,-124.30659782845024,-0.04198872918140914,0.06981505730123161
2022-01-06,129.0,116.0,141.0,-124.34429621806281,-0.033004530999952195,0.07046474370436509
2022-01-07,130.0,117.0,141.0,-124.38199460767537,-0.041368753045553056,0.07092695451691541
2022-01-08,137.0,124.0,150.0,-124.41969299728792,0.10209481776472693,0.07117411443022087
2022-01-09,138.0,126.0,151.0,-124.4573913869005,0.09862495119935992,0.07118348751984184
2022-01-10,131.0,119.0,143.0,-124.49508977651305,-0.04990898434490627,0.07093752651869976
2022-01-11,129.0,117.0,142.0,-124.53278816612561,-0.03444877139223337,0.07042409041017113
2022-01-12,130.0,119.0,142.0,-124.57048655573817,-0.04198872918140215,0.06963652815582369
2022-01-13,151.0,139.0,164.0,-124.60818494535073,-0.033004530999998914,0.06857362980342636
2022-01-14,179.0,167.0,192.0,-124.64588333496329,-0.04136875304572524,0.06723944957857528
2022-01-15,160.0,147.0,172.0,-124.68358172457584,0.10209481776475868,0.06564300875953609
2022-01-16,139.0,126.0,151.0,-124.72128011418842,0.09862495119915496,0.06379788908538954
2022-01-17,133.0,120.0,145.0,-124.75897850380098,-0.04990898434500941,0.06172173007600865
2022-01-18,131.0,118.0,144.0,-124.79667689341353,-0.03444877139225518,0.05943564588077209
2022-01-19,132.0,120.0,145.0,-124.83437528302609,-0.04198872918140725,0.056963579064638635
2022-01-20,132.0,120.0,143.0,-124.87207367263865,-0.03300453100004565,0.054331610040911915
2022-01-21,133.0,120.0,145.0,-124.9097720622512,-0.041368753045756046,0.05156724163913014
2022-01-22,140.0,128.0,152.0,-124.94747045186378,0.10209481776495946,0.04869867853783041
2022-01-23,141.0,129.0,153.0,-124.98516884147634,0.09862495119928313,0.04575412099430106
2022-01-24,135.0,123.0,147.0,-125.0228672310889,-0.049908984344839945,0.04276109147988627
2022-01-25,143.0,130.0,155.0,-125.06056562070147,-0.034448771392137624,0.03974581150865355
2022-01-26,155.0,142.0,166.0,-125.09826401031401,-0.0419887291814058,0.036732644170169894
2022-01-27,143.0,131.0,156.0,-125.13596239992657,-0.0330045310000127,0.033743615697756316
2022-01-28,136.0,124.0,148.0,-125.17366078953913,-0.04136875304564883,0.030798026887090605
2022-01-29,143.0,130.0,156.0,-125.2113591791517,0.10209481776516023,0.0279121623992983
