ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly
2022-01-01,36.0,30.0,43.0,3.841543992,4.068572068647735,-1.6380402876997844
2022-01-02,28.0,21.0,34.0,3.8672671539227057,3.9199401422634805,-1.7450623676566717
2022-01-03,25.0,19.0,32.0,3.8929903158454104,-1.5870676048863661,-1.8509629483592362
2022-01-04,24.0,18.0,32.0,3.918713477768116,-1.653387645315794,-1.9537777596051167
2022-01-05,24.0,17.0,31.0,3.9444366396908213,-1.716231338743397,-2.051633716889441
2022-01-06,24.0,17.0,31.0,3.970159801613527,-1.611173579998558,-2.142800875820707
2022-01-07,25.0,18.0,31.0,3.9958829635362316,-1.420652041954361,-2.225740233793863
2022-01-08,27.0,21.0,34.0,4.021606125458938,4.068572068639171,-2.2991459702940715
2022-01-09,27.0,20.0,33.0,4.047329287381642,3.9199401422617064,-2.3619808781928877
2022-01-10,24.0,17.0,31.0,4.073052449304348,-1.587067604886235,-2.4135039366853723
2022-01-11,23.0,17.0,29.0,4.098775611227054,-1.6533876453165417,-2.4532892063337433
2022-01-12,23.0,16.0,30.0,4.124498773149758,-1.716231338743488,-2.481235481221864
2022-01-13,30.0,24.0,37.0,4.150221935072464,-1.6111735799999487,-2.4975664050236053
2022-01-14,39.0,33.0,46.0,4.175945096995169,-1.420652041963218,-2.502821038784797
2022-01-15,34.0,28.0,41.0,4.201668258917874,4.068572068640795,-2.497835150113927
2022-01-16,27.0,21.0,34.0,4.227391420840579,3.9199401422549958,-2.4837137678988976
2022-01-17,25.0,18.0,31.0,4.253114582763285,-1.5870676048900927,-2.461795805479118
2022-01-18,25.0,18.0,30.0,4.27883774468599,-1.6533876453172889,-2.433611790689959
2022-01-19,25.0,18.0,31.0,4.304560906608696,-1.7162313387434054,-2.4008359463552846
2022-01-20,25.0,19.0,32.0,4.330284068531401,-1.611173580001339,-2.365234033494106
2022-01-21,27.0,20.0,33.0,4.356007230454106,-1.4206520419632045,-2.3286084966724503
2022-01-22,30.0,24.0,36.0,4.381730392376812,4.068572068647325,-2.2927425327527424
2022-01-23,30.0,23.0,36.0,4.407453554299517,3.9199401422581572,-2.259344738260266
2022-01-24,27.0,21.0,33.0,4.433176716222222,-1.587067604881694,-2.2299959756350027
2022-01-25,29.0,23.0,36.0,4.458899878144928,-1.6533876453135323,-2.206100035143778
2022-01-26,33.0,26.0,40.0,4.484623040067633,-1.7162313387434276,-2.1888395589933864
2022-01-27,30.0,23.0,37.0,4.5103462019903375,-1.611173580000602,-2.1791385404286334
2022-01-28,28.0,22.0,35.0,4.536069363913044,-1.420652041959288,-2.1776325177975826
2022-01-29,32.0,25.0,38.0,4.561792525835749,4.068572068653853,-2.1846473574039695
2022-01-30,31.0,24.0,38.0,4.5875156877584535,3.9199401422674076,-2.200187266074422
2022-01-31,28.0,21.0,34.0,4.613238849681159,-1.5870676048855517,-2.2239324022196842
2022-02-01,30.0,24.0,37.0,4.638962011603865,-1.65338764531428,-2.255246170791576
2022-02-02,30.0,23.0,37.0,4.66468517352657,-1.716231338743381,-2.2931920013101
2022-02-03,30.0,24.0,37.0,4.690408335449275,-1.6111735800041203,-2.336559127531357
2022-02-04,31.0,24.0,38.0,4.7167217828717884,-1.420652041972048,-2.383896620651373
2022-02-05,34.0,28.0,41.0,4.7430352302943,4.068572068650572,-2.433554683118706
2022-02-06,34.0,27.0,41.0,4.769348677716812,3.919940142265633,-2.483731994405262
2022-02-07,30.0,24.0,37.0,4.795662125139324,-1.5870676048854206,-2.5325277199049054
2022-02-08,30.0,23.0,37.0,4.821975572561836,-1.6533876453127752,-2.577996654831118
2022-02-09,29.0,23.0,37.0,4.848289019984348,-1.7162313387433343,-2.6182058807470865
2022-02-10,30.0,23.0,36.0,4.87460246740686,-1.6111735799983924,-2.651291266011353
2022-02-11,31.0,25.0,38.0,4.900915914829372,-1.4206520419681317,-2.6755121443651233
2022-02-12,35.0,28.0,41.0,4.927229362251884,4.068572068657101,-2.689302558083714
2022-02-13,45.0,39.0,52.0,4.953542809674396,3.919940142258923,-2.6913175520626975
2022-02-14,55.0,49.0,62.0,4.979856257096908,-1.5870676048892784,-2.680473149968897
2022-02-15,42.0,35.0,48.0,5.00616970451942,-1.6533876453167333,-2.655978828930795
2022-02-16,31.0,24.0,37.0,5.032483151941933,-1.7162313387434254,-2.6173615296944135
2022-02-17,32.0,25.0,38.0,5.0587965993644435,-1.6111735800019105,-2.5644804882328893
2022-02-18,33.0,27.0,40.0,5.085110046786957,-1.4206520419681181,-2.49753244511807
2022-02-19,37.0,31.0,44.0,5.111423494209469,4.068572068658725,-2.417047072553661
2022-02-20,37.0,31.0,44.0,5.137736941631981,3.919940142252212,-2.323872747426601
2022-02-21,34.0,27.0,41.0,5.164050389054493,-1.587067604889147,-2.2191530835379085
2022-02-22,35.0,28.0,42.0,5.190363836477005,-1.6533876453152294,-2.1042949088859775
2022-02-23,35.0,29.0,42.0,5.216677283899517,-1.7162313387433787,-1.9809286263979855
2022-02-24,36.0,30.0,43.0,5.2429907313220285,-1.6111735800011735,-1.8508621213616865
2022-02-25,38.0,31.0,45.0,5.269304178744542,-1.4206520419642017,-1.7160295693415533
2022-02-26,43.0,36.0,50.0,5.295617626167053,4.068572068645256,-1.5784366488806594
2022-02-27,43.0,37.0,50.0,5.321931073589566,3.9199401422762707,-1.4401037693438148
2022-02-28,40.0,33.0,47.0,5.348244521012078,-1.587067604896994,-1.3030089826692532
2022-03-01,50.0,43.0,56.0,5.37455796843459,-1.6533876453159766,-1.1690322568698401
2022-03-02,51.0,44.0,58.0,5.400871415857102,-1.716231338743401,-1.0399027484737402
2022-03-03,52.0,46.0,58.0,5.427184863279614,-1.6111735799975735,-0.9171506220427537
2022-03-04,54.0,48.0,60.0,5.453498310702126,-1.4206520419641882,-0.8020648299651587
2022-03-05,59.0,53.0,65.0,5.4798117581246375,4.06857206864688,-0.6956580889686595
2022-03-06,59.0,52.0,66.0,5.50612520554715,3.919940142274496,-0.5986400763909422
2022-03-07,66.0,60.0,73.0,5.532438652969661,-1.5870676048968626,-0.5113996256004224
2022-03-08,80.0,73.0,86.0,5.558752100392174,-1.6533876453144714,-0.4339964332097024
2022-03-09,67.0,60.0,73.0,5.55670847372773,-1.7162313387433872,-0.36616250884199253
2022-03-10,57.0,51.0,63.0,5.554664847063286,-1.611173579998964,-0.30731330955212943
2022-03-11,58.0,51.0,65.0,5.552621220398841,-1.4206520419563688,-0.2565682141313082
2022-03-12,62.0,56.0,69.0,5.550577593734396,4.068572068653409,-0.21277971595801126
2022-03-13,62.0,55.0,68.0,5.548533967069952,3.919940142267786,-0.17457045503237434
2022-03-14,58.0,51.0,65.0,5.546490340405508,-1.587067604884475,-0.1403769780110222
2022-03-15,58.0,51.0,64.0,5.544446713741063,-1.6533876453152194,-0.10849891632507988
2022-03-16,58.0,50.0,64.0,5.542403087076618,-1.7162313387434092,-0.07715211274831141
2022-03-17,58.0,52.0,65.0,5.540359460412174,-1.6111735800003548,-0.04452411083165431
2022-03-18,60.0,53.0,66.0,5.538315833747729,-1.4206520419563553,-0.008830352893000576
2022-03-19,64.0,57.0,70.0,5.536272207083285,4.068572068655032,0.031630587223395734
2022-03-20,63.0,56.0,70.0,5.534228580418841,3.9199401422610753,0.07842437999614166
2022-03-21,59.0,52.0,66.0,5.5321849537543955,-1.587067604888333,0.13293248873490243
2022-03-22,59.0,53.0,66.0,5.530141327089952,-1.6533876453114624,0.1963093288485111
2022-03-23,59.0,52.0,66.0,5.528097700425508,-1.7162313387434311,0.2694463072008892
2022-03-24,76.0,69.0,83.0,5.526054073761063,-1.6111735799996172,0.35294380428460986
2022-03-25,97.0,90.0,103.0,5.524010447096619,-1.4206520419691153,0.44709192367903317
2022-03-26,82.0,75.0,89.0,5.521966820432175,4.068572068641563,0.5518605704691311
2022-03-27,66.0,59.0,73.0,5.519923193767729,3.9199401422593008,0.6668991407707567
2022-03-28,63.0,56.0,70.0,5.517879567103285,-1.5870676048921906,0.7915458166343923
2022-03-29,63.0,57.0,70.0,5.515835940438841,-1.65338764531221,0.924846172962911
2022-03-30,64.0,57.0,70.0,5.513792313774396,-1.7162313387434178,1.0655805242686491
2022-03-31,65.0,58.0,71.0,5.511748687109952,-1.61117357999888,1.212299177475783
2022-04-01,76.0,70.0,83.0,5.509705060445507,-1.420652041965199,1.3633645203595872
2022-04-02,81.0,74.0,88.0,5.507661433781063,4.068572068638282,1.5169986707272596
2022-04-03,81.0,75.0,88.0,5.505617807116619,3.9199401422575266,1.6713352451823815
2022-04-04,78.0,71.0,84.0,5.5035741804521745,-1.5870676048920593,1.824473683320946
2022-04-05,78.0,72.0,85.0,5.50153055378773,-1.653387645316168,1.9745344871847172
2022-04-06,79.0,72.0,86.0,5.499486927123285,-1.7162313387433712,2.1197137090286833
2022-04-07,80.0,74.0,87.0,5.4974433004588406,-1.6111735800002704,2.2583350438326772
2022-04-08,82.0,75.0,88.0,5.495399673794396,-1.4206520419612823,2.388897955799587
2022-04-09,86.0,80.0,93.0,5.493356047129952,4.068572068644811,2.5101203882255225
