ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly
2022-01-01,56.0,51.0,60.0,-40.91145684000001,0.16083140268870866,0.005940824210001146
2022-01-02,44.0,40.0,49.0,-40.91934846011594,0.17589751799164713,0.0050203815491427686
2022-01-03,42.0,38.0,47.0,-40.92724008023189,-0.07058236683709113,0.003865911659045585
2022-01-04,42.0,38.0,47.0,-40.93513170034783,-0.06845423082652372,0.002505719504918024
2022-01-05,42.0,38.0,47.0,-40.943023320463766,-0.06719141917085814,0.0009731944329811892
2022-01-06,43.0,38.0,47.0,-40.950914940579715,-0.07255885699992508,-0.0006939888623341342
2022-01-07,42.0,38.0,47.0,-40.958806560695656,-0.05794204684547897,-0.0024547733456278063
2022-01-08,45.0,41.0,50.0,-40.9666981808116,0.16083140268832233,-0.004265703655257566
2022-01-09,45.0,40.0,49.0,-40.974589800927546,0.1758975179915676,-0.006081966245548558
2022-01-10,43.0,39.0,47.0,-40.98248142104348,-0.07058236683712546,-0.007858459519090135
2022-01-11,43.0,38.0,47.0,-40.99037304115942,-0.06845423082650853,-0.009550867237314516
2022-01-12,43.0,39.0,47.0,-40.99826466127537,-0.06719141917078955,-0.011116708613479171
2022-01-13,52.0,48.0,57.0,-41.006156281391306,-0.072558856999999,-0.01251633928946088
2022-01-14,63.0,58.0,67.0,-41.01404790150725,-0.05794204684581363,-0.013713878847733233
2022-01-15,55.0,51.0,59.0,-41.021939521623196,0.16083140268839646,-0.014678042567691025
2022-01-16,45.0,40.0,50.0,-41.02983114173914,0.17589751799130732,-0.015382857741412976
2022-01-17,43.0,39.0,48.0,-41.03772276185507,-0.07058236683728036,-0.015808247942946864
2022-01-18,43.0,39.0,48.0,-41.04561438197102,-0.06845423082649338,-0.01594047211234537
2022-01-19,43.0,39.0,48.0,-41.05350600208696,-0.06719141917083796,-0.0157724090758892
2022-01-20,43.0,39.0,48.0,-41.0613976222029,-0.07255885700007293,-0.015303682076140251
2022-01-21,43.0,39.0,47.0,-41.069289242318845,-0.05794204684583383,-0.014540621924845062
2022-01-22,46.0,41.0,50.0,-41.07718086243479,0.16083140268867582,-0.013496071412564684
2022-01-23,45.0,41.0,49.0,-41.08507248255073,0.17589751799140857,-0.012189037507947243
2022-01-24,43.0,39.0,47.0,-41.09296410266668,-0.07058236683685383,-0.010644201557756049
2022-01-25,47.0,43.0,51.0,-41.10085572278261,-0.06845423082640517,-0.00889130106496934
2022-01-26,51.0,46.0,55.0,-41.10874734289855,-0.06719141917082413,-0.0069643995947920485
2022-01-27,47.0,42.0,51.0,-41.1166389630145,-0.07255885700001165,-0.004901063867133638
2022-01-28,42.0,38.0,47.0,-41.124530583130436,-0.05794204684566513,-0.002741469082648673
