ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly
2022-01-01,92.0,85.0,98.0,-72.20126807999999,0.15624315963562954,0.008285609400002496
2022-01-02,75.0,69.0,82.0,-72.20969652795652,0.15675309923876476,0.007244886317324388
2022-01-03,69.0,63.0,76.0,-72.21812497591304,-0.06216599944318446,0.006254756961415003
2022-01-04,69.0,63.0,75.0,-72.22655342386956,-0.06164215429884018,0.005319555729688941
2022-01-05,69.0,63.0,75.0,-72.2349818718261,-0.059485489543602374,0.004443346632511147
2022-01-06,70.0,64.0,76.0,-72.24341031978261,-0.06668059499993302,0.0036299737111394944
2022-01-07,70.0,63.0,76.0,-72.25183876773912,-0.06302202058833878,0.0028830987907674122
2022-01-08,76.0,69.0,81.0,-72.26026721569565,0.1562431596352604,0.0022062238269376505
2022-01-09,76.0,69.0,82.0,-72.26869566365217,0.1567530992386927,0.0016026957684235838
2022-01-10,70.0,63.0,76.0,-72.27712411160869,-0.0621659994431877,0.0010756926077824234
2022-01-11,70.0,63.0,76.0,-72.28555255956522,-0.06164215429885744,0.0006281900983666445
2022-01-12,70.0,64.0,76.0,-72.29398100752174,-0.05948548954359974,0.0002629094580532845
2022-01-13,84.0,78.0,90.0,-72.30240945547826,-0.06668059499999678,-1.775277217165561e-05
2022-01-14,101.0,94.0,107.0,-72.31083790343479,-0.06302202058869111,-0.00021181072006561065
2022-01-15,90.0,83.0,96.0,-72.3192663513913,0.1562431596353318,-0.00031778825192149457
2022-01-16,76.0,69.0,82.0,-72.32769479934782,0.15675309923843597,-0.0003348276458273018
2022-01-17,70.0,64.0,76.0,-72.33612324730434,-0.06216599944333715,-0.00026280379184812704
2022-01-18,70.0,64.0,76.0,-72.34455169526086,-0.06164215429887472,-0.00010243936306998289
2022-01-19,70.0,63.0,75.0,-72.35298014321738,-0.05948548954359169,0.00014458393727406283
2022-01-20,70.0,64.0,77.0,-72.36140859117391,-0.06668059500006054,0.000475523130268152
2022-01-21,70.0,64.0,76.0,-72.36983703913043,-0.06302202058868867,0.0008864858119874675
2022-01-22,76.0,69.0,82.0,-72.37826548708695,0.1562431596355897,0.0013723610406482824
2022-01-23,76.0,69.0,82.0,-72.38669393504348,0.15675309923854855,0.0019267738745234117
2022-01-24,70.0,64.0,76.0,-72.395122383,-0.062165999442992996,0.0025420676823023985
2022-01-25,75.0,69.0,81.0,-72.40355083095652,-0.061642154298734333,0.003209317698689119
2022-01-26,82.0,76.0,88.0,-72.41197927891305,-0.059485489543593235,0.0039183785075441084
2022-01-27,76.0,69.0,82.0,-72.42040772686957,-0.06668059500003792,0.004657967223292784
2022-01-28,70.0,63.0,76.0,-72.42883617482607,-0.06302202058853476,0.005415783131739389
2022-01-29,75.0,69.0,82.0,-72.4372646227826,0.15624315963584762,0.006178663472068089
2022-01-30,75.0,69.0,81.0,-72.44569307073913,0.15675309923892028,0.006932773922305761
2022-01-31,70.0,63.0,76.0,-72.45412151869564,-0.062165999443142474,0.007663831223647197
2022-02-01,57.0,50.0,62.0,-72.46254996665218,-0.061642154298751584,0.00835735427746939
2022-02-02,56.0,51.0,63.0,-72.4709784146087,-0.05948548954359898,0.008998939006695218
2022-02-03,57.0,51.0,63.0,-72.4794068625652,-0.06668059500018805,0.009574551322450966
2022-02-04,57.0,50.0,63.0,-72.48783705553274,-0.06302202058903854,0.010070831708730655
2022-02-05,62.0,56.0,69.0,-72.49626724850027,0.1562431596357325,0.010475404260195666
2022-02-06,62.0,56.0,69.0,-72.50469744146781,0.1567530992388482,0.010777182505507382
2022-02-07,57.0,50.0,63.0,-72.51312763443534,-0.0621659994431457,0.01096666404123724
2022-02-08,57.0,50.0,63.0,-72.52155782740287,-0.061642154298690036,0.01103620590419135
2022-02-09,56.0,50.0,63.0,-72.5299880203704,-0.05948548954360472,0.010980272732736784
2022-02-10,57.0,50.0,63.0,-72.53841821333793,-0.06668059499992258,0.010795650113894476
2022-02-11,57.0,51.0,63.0,-72.54684840630546,-0.06302202058888465,0.010481616080047006
2022-02-12,63.0,56.0,69.0,-72.555278599273,0.15624315963599042,0.01004006449833953
2022-02-13,82.0,76.0,88.0,-72.56370879224052,0.1567530992385915,0.009475575072236838
2022-02-14,100.0,93.0,106.0,-72.57213898520806,-0.06216599944329518,0.008795425827421252
2022-02-15,76.0,70.0,83.0,-72.58056917817558,-0.061642154298868684,0.008009545257442062
2022-02-16,57.0,50.0,63.0,-72.58899937114312,-0.05948548954360207,0.007130402726855915
2022-02-17,57.0,51.0,63.0,-72.59742956411064,-0.0666805950000727,0.006172837236653314
2022-02-18,57.0,51.0,64.0,-72.60585975707818,-0.0630220205888822,0.005153826210064025
2022-02-19,63.0,57.0,69.0,-72.6142899500457,0.1562431596360618,0.004092197516614118
2022-02-20,63.0,57.0,69.0,-72.62272014301324,0.15675309923833472,0.0030082894768132208
2022-02-21,57.0,51.0,63.0,-72.63115033598076,-0.0621659994432984,0.001923565038378182
2022-02-22,57.0,51.0,63.0,-72.6395805289483,-0.06164215429880712,0.0008601876467738108
2022-02-23,57.0,51.0,64.0,-72.64801072191582,-0.05948548954360783,-0.0001594324892042298
2022-02-24,58.0,52.0,64.0,-72.65644091488336,-0.06668059500005011,-0.0011131120473171058
2022-02-25,58.0,52.0,64.0,-72.66487110785089,-0.0630220205887283,-0.001979377697723363
2022-02-26,64.0,57.0,70.0,-72.67330130081842,0.15624315963550614,-0.002737947679527543
2022-02-27,64.0,57.0,70.0,-72.68173149378595,0.15675309923926042,-0.0033702006003289084
2022-02-28,58.0,52.0,64.0,-72.69016168675348,-0.06216599944359412,-0.0038596202243019835
2022-03-01,58.0,52.0,64.0,-72.69859187972102,-0.061642154298824386,-0.004192205308983871
2022-03-02,58.0,51.0,64.0,-72.70702207268856,-0.05948548954360937,-0.004356834125184033
2022-03-03,58.0,52.0,65.0,-72.71545226565608,-0.066680594999871,-0.004345574139238403
2022-03-04,58.0,51.0,64.0,-72.72388245862362,-0.06302202058872587,-0.004153928435791642
2022-03-05,64.0,57.0,69.0,-72.73231265159114,0.15624315963557756,-0.0037810117895260044
2022-03-06,64.0,58.0,70.0,-72.74074284455868,0.15675309923918834,-0.0032296508258075835
2022-03-07,74.0,68.0,81.0,-72.7491730375262,-0.06216599944359734,-0.0025064044083036533
2022-03-08,95.0,89.0,101.0,-72.75760323049374,-0.06164215429876284,-0.001621502215707166
2022-03-09,74.0,67.0,80.0,-72.76630348457519,-0.05948548954359712,-0.0005887013761897747
2022-03-10,58.0,52.0,64.0,-72.77500373865662,-0.06668059499993476,0.0005749370297982916
2022-03-11,58.0,51.0,64.0,-72.78370399273808,-0.06302202058842055,0.0018493478584561103
2022-03-12,63.0,57.0,69.0,-72.79240424681953,0.1562431596358355,0.003211832575385108
2022-03-13,63.0,57.0,70.0,-72.80110450090096,0.15675309923893163,0.004637493345294117
2022-03-14,57.0,51.0,63.0,-72.80980475498241,-0.062165999443106953,0.006099721567127372
2022-03-15,57.0,50.0,63.0,-72.81850500906386,-0.0616421542987801,0.0075707304751981685
2022-03-16,57.0,51.0,63.0,-72.8272052631453,-0.05948548954359867,0.00902212025296671
2022-03-17,57.0,50.0,63.0,-72.83590551722675,-0.06668059499999851,0.010425463198357195
2022-03-18,57.0,50.0,63.0,-72.84460577130818,-0.0630220205884181,0.01175289586351983
2022-03-19,63.0,56.0,69.0,-72.85330602538963,0.15624315963590688,0.012977704786074276
2022-03-20,62.0,56.0,69.0,-72.86200627947107,0.1567530992386749,0.014074892444095908
2022-03-21,57.0,50.0,63.0,-72.87070653355252,-0.062165999443256445,0.015021710405774566
2022-03-22,56.0,50.0,63.0,-72.87940678763397,-0.061642154298639715,0.015798147301726875
2022-03-23,56.0,50.0,63.0,-72.88810704171541,-0.059485489543600216,0.01638736020963431
2022-03-24,82.0,76.0,88.0,-72.89680729579685,-0.0666805949999759,0.016776039285784184
2022-03-25,112.0,106.0,119.0,-72.90550754987831,-0.06302202058892187,0.016954696977686225
2022-03-26,87.0,81.0,94.0,-72.91420780395974,0.1562431596353512,0.016917874870831517
2022-03-27,62.0,56.0,69.0,-72.92290805804119,0.15675309923860278,0.016664263119845618
2022-03-28,57.0,50.0,63.0,-72.93160831212263,-0.06216599944340589,0.01619672944379667
2022-03-29,57.0,50.0,63.0,-72.94030856620407,-0.06164215429865699,0.01552225677806866
2022-03-30,56.0,51.0,63.0,-72.94900882028553,-0.05948548954358798,0.014651790819016306
2022-03-31,57.0,50.0,63.0,-72.95770907436697,-0.0666805949999533,0.013600000820002608
2022-04-01,57.0,51.0,63.0,-72.9664093284484,-0.06302202058876799,0.012384959045620408
2022-04-02,63.0,56.0,70.0,-72.97510958252985,0.15624315963523608,0.011027746214396278
2022-04-03,63.0,57.0,69.0,-72.98380983661129,0.15675309923853073,0.009551992010950404
2022-04-04,57.0,51.0,63.0,-72.99251009069275,-0.06216599944340914,0.007983361282971843
2022-04-05,57.0,51.0,63.0,-73.0012103447742,-0.061642154298835614,0.006348997817824731
2022-04-06,57.0,51.0,64.0,-73.00991059885563,-0.05948548954359373,0.004676938586529486
2022-04-07,58.0,52.0,64.0,-73.01861085293707,-0.06668059500001705,0.002995512023942683
2022-04-08,58.0,51.0,64.0,-73.02731110701852,-0.0630220205886141,0.0013327342664224222
2022-04-09,64.0,58.0,70.0,-73.03601136109997,0.15624315963549404,-0.000284282716958518
