date,city,product,category,units_sold,festival,festival_boost,season,weather_boost,is_weekend,stockout,stockout_risk_pct
2022-01-01,Bhopal,Lipstick,Makeup,86,New Year Eve (nearby),1.27,Winter,1.2,1,1,100
2022-01-01,Bhopal,Sunscreen SPF50,Skincare,29,New Year Eve (nearby),1.27,Winter,0.6,1,0,58
2022-01-01,Bhopal,Moisturizer,Skincare,137,New Year Eve (nearby),1.27,Winter,1.6,1,1,100
2022-01-01,Bhopal,Face Serum,Skincare,49,New Year Eve (nearby),1.27,Winter,1.3,1,1,100
2022-01-01,Bhopal,Foundation,Makeup,55,New Year Eve (nearby),1.27,Winter,1.0,1,0,93
2022-01-01,Lucknow,Lipstick,Makeup,99,New Year Eve (nearby),1.27,Winter,1.2,1,1,100
2022-01-01,Lucknow,Sunscreen SPF50,Skincare,27,New Year Eve (nearby),1.27,Winter,0.6,1,0,46
2022-01-01,Lucknow,Moisturizer,Skincare,149,New Year Eve (nearby),1.27,Winter,1.6,1,1,100
2022-01-01,Lucknow,Face Serum,Skincare,60,New Year Eve (nearby),1.27,Winter,1.3,1,1,100
2022-01-01,Lucknow,Foundation,Makeup,62,New Year Eve (nearby),1.27,Winter,1.0,1,0,89
2022-01-01,Jaipur,Lipstick,Makeup,104,New Year Eve (nearby),1.27,Winter,1.2,1,1,100
2022-01-01,Jaipur,Sunscreen SPF50,Skincare,38,New Year Eve (nearby),1.27,Winter,0.6,1,0,61
2022-01-01,Jaipur,Moisturizer,Skincare,156,New Year Eve (nearby),1.27,Winter,1.6,1,1,100
2022-01-01,Jaipur,Face Serum,Skincare,60,New Year Eve (nearby),1.27,Winter,1.3,1,1,100
2022-01-01,Jaipur,Foundation,Makeup,70,New Year Eve (nearby),1.27,Winter,1.0,1,0,95
2022-01-01,Chandigarh,Lipstick,Makeup,107,New Year Eve (nearby),1.27,Winter,1.2,1,1,100
2022-01-01,Chandigarh,Sunscreen SPF50,Skincare,35,New Year Eve (nearby),1.27,Winter,0.6,1,0,54
2022-01-01,Chandigarh,Moisturizer,Skincare,209,New Year Eve (nearby),1.27,Winter,1.9,1,1,100
2022-01-01,Chandigarh,Face Serum,Skincare,68,New Year Eve (nearby),1.27,Winter,1.3,1,1,100
2022-01-01,Chandigarh,Foundation,Makeup,64,New Year Eve (nearby),1.27,Winter,1.0,1,0,84
2022-01-01,Coimbatore,Lipstick,Makeup,91,New Year Eve (nearby),1.27,Mild Winter,1.2,1,1,100
2022-01-01,Coimbatore,Sunscreen SPF50,Skincare,60,New Year Eve (nearby),1.27,Mild Winter,1.1,1,1,100
2022-01-01,Coimbatore,Moisturizer,Skincare,144,New Year Eve (nearby),1.27,Mild Winter,1.6,1,1,100
2022-01-01,Coimbatore,Face Serum,Skincare,51,New Year Eve (nearby),1.27,Mild Winter,1.3,1,1,100
2022-01-01,Coimbatore,Foundation,Makeup,64,New Year Eve (nearby),1.27,Mild Winter,1.0,1,0,94
2022-01-02,Bhopal,Lipstick,Makeup,59,None,1.0,Winter,1.2,1,0,79
2022-01-02,Bhopal,Sunscreen SPF50,Skincare,22,None,1.0,Winter,0.6,1,0,44
2022-01-02,Bhopal,Moisturizer,Skincare,99,None,1.0,Winter,1.6,1,0,98
2022-01-02,Bhopal,Face Serum,Skincare,38,None,1.0,Winter,1.3,1,0,88
2022-01-02,Bhopal,Foundation,Makeup,44,None,1.0,Winter,1.0,1,0,75
2022-01-02,Lucknow,Lipstick,Makeup,77,None,1.0,Winter,1.2,1,0,88
2022-01-02,Lucknow,Sunscreen SPF50,Skincare,28,None,1.0,Winter,0.6,1,0,48
2022-01-02,Lucknow,Moisturizer,Skincare,118,None,1.0,Winter,1.6,1,0,99
2022-01-02,Lucknow,Face Serum,Skincare,45,None,1.0,Winter,1.3,1,0,88
2022-01-02,Lucknow,Foundation,Makeup,47,None,1.0,Winter,1.0,1,0,68
2022-01-02,Jaipur,Lipstick,Makeup,77,None,1.0,Winter,1.2,1,0,83
2022-01-02,Jaipur,Sunscreen SPF50,Skincare,30,None,1.0,Winter,0.6,1,0,48
2022-01-02,Jaipur,Moisturizer,Skincare,141,None,1.0,Winter,1.6,1,1,100
2022-01-02,Jaipur,Face Serum,Skincare,49,None,1.0,Winter,1.3,1,0,90
2022-01-02,Jaipur,Foundation,Makeup,53,None,1.0,Winter,1.0,1,0,72
2022-01-02,Chandigarh,Lipstick,Makeup,86,None,1.0,Winter,1.2,1,0,89
2022-01-02,Chandigarh,Sunscreen SPF50,Skincare,29,None,1.0,Winter,0.6,1,0,45
2022-01-02,Chandigarh,Moisturizer,Skincare,176,None,1.0,Winter,1.9,1,1,100
2022-01-02,Chandigarh,Face Serum,Skincare,50,None,1.0,Winter,1.3,1,0,89
2022-01-02,Chandigarh,Foundation,Makeup,54,None,1.0,Winter,1.0,1,0,71
2022-01-02,Coimbatore,Lipstick,Makeup,70,None,1.0,Mild Winter,1.2,1,0,82
2022-01-02,Coimbatore,Sunscreen SPF50,Skincare,46,None,1.0,Mild Winter,1.1,1,0,81
2022-01-02,Coimbatore,Moisturizer,Skincare,128,None,1.0,Mild Winter,1.6,1,1,100
2022-01-02,Coimbatore,Face Serum,Skincare,41,None,1.0,Mild Winter,1.3,1,0,82
2022-01-02,Coimbatore,Foundation,Makeup,45,None,1.0,Mild Winter,1.0,1,0,66
2022-01-03,Bhopal,Lipstick,Makeup,56,None,1.0,Winter,1.2,0,0,75
2022-01-03,Bhopal,Sunscreen SPF50,Skincare,19,None,1.0,Winter,0.6,0,0,38
2022-01-03,Bhopal,Moisturizer,Skincare,117,None,1.0,Winter,1.6,0,1,100
2022-01-03,Bhopal,Face Serum,Skincare,38,None,1.0,Winter,1.3,0,0,88
2022-01-03,Bhopal,Foundation,Makeup,37,None,1.0,Winter,1.0,0,0,63
2022-01-03,Lucknow,Lipstick,Makeup,72,None,1.0,Winter,1.2,0,0,82
2022-01-03,Lucknow,Sunscreen SPF50,Skincare,25,None,1.0,Winter,0.6,0,0,43
2022-01-03,Lucknow,Moisturizer,Skincare,123,None,1.0,Winter,1.6,0,1,100
2022-01-03,Lucknow,Face Serum,Skincare,46,None,1.0,Winter,1.3,0,0,90
2022-01-03,Lucknow,Foundation,Makeup,41,None,1.0,Winter,1.0,0,0,59
2022-01-03,Jaipur,Lipstick,Makeup,81,None,1.0,Winter,1.2,0,0,87
2022-01-03,Jaipur,Sunscreen SPF50,Skincare,23,None,1.0,Winter,0.6,0,0,37
2022-01-03,Jaipur,Moisturizer,Skincare,132,None,1.0,Winter,1.6,0,1,100
2022-01-03,Jaipur,Face Serum,Skincare,41,None,1.0,Winter,1.3,0,0,76
2022-01-03,Jaipur,Foundation,Makeup,49,None,1.0,Winter,1.0,0,0,67
2022-01-03,Chandigarh,Lipstick,Makeup,78,None,1.0,Winter,1.2,0,0,81
2022-01-03,Chandigarh,Sunscreen SPF50,Skincare,21,None,1.0,Winter,0.6,0,0,33
2022-01-03,Chandigarh,Moisturizer,Skincare,161,None,1.0,Winter,1.9,0,1,100
2022-01-03,Chandigarh,Face Serum,Skincare,46,None,1.0,Winter,1.3,0,0,82
2022-01-03,Chandigarh,Foundation,Makeup,51,None,1.0,Winter,1.0,0,0,67
2022-01-03,Coimbatore,Lipstick,Makeup,59,None,1.0,Mild Winter,1.2,0,0,69
2022-01-03,Coimbatore,Sunscreen SPF50,Skincare,46,None,1.0,Mild Winter,1.1,0,0,81
2022-01-03,Coimbatore,Moisturizer,Skincare,118,None,1.0,Mild Winter,1.6,0,1,100
2022-01-03,Coimbatore,Face Serum,Skincare,41,None,1.0,Mild Winter,1.3,0,0,82
2022-01-03,Coimbatore,Foundation,Makeup,41,None,1.0,Mild Winter,1.0,0,0,61
2022-01-04,Bhopal,Lipstick,Makeup,62,None,1.0,Winter,1.2,0,0,83
2022-01-04,Bhopal,Sunscreen SPF50,Skincare,21,None,1.0,Winter,0.6,0,0,42
2022-01-04,Bhopal,Moisturizer,Skincare,95,None,1.0,Winter,1.6,0,0,94
2022-01-04,Bhopal,Face Serum,Skincare,35,None,1.0,Winter,1.3,0,0,81
2022-01-04,Bhopal,Foundation,Makeup,41,None,1.0,Winter,1.0,0,0,70
2022-01-04,Lucknow,Lipstick,Makeup,70,None,1.0,Winter,1.2,0,0,80
2022-01-04,Lucknow,Sunscreen SPF50,Skincare,21,None,1.0,Winter,0.6,0,0,36
2022-01-04,Lucknow,Moisturizer,Skincare,125,None,1.0,Winter,1.6,0,1,100
2022-01-04,Lucknow,Face Serum,Skincare,46,None,1.0,Winter,1.3,0,0,90
2022-01-04,Lucknow,Foundation,Makeup,42,None,1.0,Winter,1.0,0,0,60
2022-01-04,Jaipur,Lipstick,Makeup,75,None,1.0,Winter,1.2,0,0,81
2022-01-04,Jaipur,Sunscreen SPF50,Skincare,26,None,1.0,Winter,0.6,0,0,42
2022-01-04,Jaipur,Moisturizer,Skincare,131,None,1.0,Winter,1.6,0,1,100
2022-01-04,Jaipur,Face Serum,Skincare,43,None,1.0,Winter,1.3,0,0,79
2022-01-04,Jaipur,Foundation,Makeup,49,None,1.0,Winter,1.0,0,0,67
2022-01-04,Chandigarh,Lipstick,Makeup,73,None,1.0,Winter,1.2,0,0,75
2022-01-04,Chandigarh,Sunscreen SPF50,Skincare,29,None,1.0,Winter,0.6,0,0,45
2022-01-04,Chandigarh,Moisturizer,Skincare,149,None,1.0,Winter,1.9,0,1,100
2022-01-04,Chandigarh,Face Serum,Skincare,48,None,1.0,Winter,1.3,0,0,85
2022-01-04,Chandigarh,Foundation,Makeup,54,None,1.0,Winter,1.0,0,0,71
2022-01-04,Coimbatore,Lipstick,Makeup,64,None,1.0,Mild Winter,1.2,0,0,75
2022-01-04,Coimbatore,Sunscreen SPF50,Skincare,37,None,1.0,Mild Winter,1.1,0,0,65
2022-01-04,Coimbatore,Moisturizer,Skincare,110,None,1.0,Mild Winter,1.6,0,0,95
2022-01-04,Coimbatore,Face Serum,Skincare,39,None,1.0,Mild Winter,1.3,0,0,78
2022-01-04,Coimbatore,Foundation,Makeup,42,None,1.0,Mild Winter,1.0,0,0,62
2022-01-05,Bhopal,Lipstick,Makeup,58,None,1.0,Winter,1.2,0,0,78
2022-01-05,Bhopal,Sunscreen SPF50,Skincare,19,None,1.0,Winter,0.6,0,0,38
2022-01-05,Bhopal,Moisturizer,Skincare,109,None,1.0,Winter,1.6,0,1,100
2022-01-05,Bhopal,Face Serum,Skincare,38,None,1.0,Winter,1.3,0,0,88
2022-01-05,Bhopal,Foundation,Makeup,34,None,1.0,Winter,1.0,0,0,58
2022-01-05,Lucknow,Lipstick,Makeup,73,None,1.0,Winter,1.2,0,0,83
2022-01-05,Lucknow,Sunscreen SPF50,Skincare,22,None,1.0,Winter,0.6,0,0,38
